ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
63.0,0.5138912684649818,5.088866693384881,0.35238315596905045,0.0156547835530398,0.011260080777091326,3.1062033272183064e-08
64.0,inf,7.999999959518794,8.942832841727804e-53,inf,inf,inf
65.0,0.46356295145898807,2.9520215774885843,0.3921476903476163,0.0172954788797611,0.01234680599547186,4.559745537982078e-08
66.0,0.4590742021656116,6.57538347783585,0.3956255654747842,0.017602372705017494,0.01245733464285885,4.8065540039641255e-08
67.0,0.43756959565437903,7.266053151416942,0.40738513665423837,0.018510971087553715,0.013164912237950539,5.929416540533e-08
68.0,inf,7.994026779998572,0.04179012001495213,inf,inf,inf
69.0,0.20823737237014817,4.526421761321031,0.8786666533390798,0.03831210370662928,0.02878122156928833,1.2155978689881615e-06
70.0,0.5449189841612175,5.912944702840157,0.3226988280339695,0.014876614331825818,0.01062662717933022,2.4987066372195097e-08
71.0,0.21604164016791064,5.428581474822965,0.8407233024993257,0.037036742101643906,0.02742540233569906,1.0318341027766206e-06
72.0,inf,7.99999968740713,3.4798180266941173e-51,inf,inf,inf
73.0,0.5294307396685637,4.984286158870175,0.33661346251000823,0.015201865428367153,0.010775086152222573,2.679545122535212e-08
74.0,inf,7.999999930848938,2.571024808919749e-53,inf,inf,inf
75.0,0.5037683219592439,5.465188773995954,0.35974889539950855,0.01596877969234299,0.011566464389325097,3.411825024427183e-08
76.0,0.5535052984327263,7.853783374436147,0.32820616864017005,0.01516743721817451,0.01049409827823476,2.5321640367839394e-08
77.0,0.33677898347742974,5.395265408486946,0.5420504366457675,0.02442821910225337,0.016934420010676472,1.7114627070699478e-07
78.0,inf,7.999999952757181,4.0651021777254258e-53,inf,inf,inf
79.0,inf,7.999999631285534,1.0834638038590834e-53,inf,inf,inf
80.0,0.4524788674421058,4.587635179302416,0.4047969847467448,0.017899049821240583,0.013131918018694715,5.522704613873999e-08
81.0,0.36152469311138635,5.788467504715871,0.5086659696038672,0.02280598090671118,0.016386256828769825,1.3962419758036726e-07
82.0,inf,7.999988588172849,3.666309066355074e-49,inf,inf,inf
83.0,0.3700230154102792,5.765492150552362,0.48988627547963337,0.022353149744763337,0.01557172823483652,1.2115540861552894e-07
84.0,0.418612949370662,5.505544868315948,0.4369918729054346,0.019147825859288047,0.014365151324959047,7.565154349038929e-08
85.0,inf,7.999998675998271,4.402696388817718e-52,inf,inf,inf
86.0,inf,7.999999668119698,2.4070616033456294e-55,inf,inf,inf
87.0,inf,7.999996372998695,1.5845462390355982e-51,inf,inf,inf
88.0,0.41387591930147266,6.829203541564586,0.43671889904369166,0.01982367380386892,0.013861731606548735,7.550555886167354e-08
89.0,inf,4.266151058817618,0.01859695575684722,inf,inf,inf
90.0,inf,7.999999059499509,1.7884861011699433e-51,inf,inf,inf
91.0,0.4622640683658033,7.37006785118862,0.395086894332679,0.01775934640719708,0.012686120527678185,5.075152635135933e-08
92.0,0.29999709891868714,5.111542453918496,0.6143265253337507,0.027680725257945512,0.019561846559321916,2.929955366284049e-07
