ID,t,t_shadow
115.0,17001.466770309464,68824.90936979509
116.0,99999093.1889592,99999093.1889592
117.0,12726407.15431093,16821030.71360329
118.0,50964700.66486807,33722034.217151925
119.0,1631453.8227345191,79109.87980287675
120.0,99996572.9471946,99996572.9471946
121.0,1015847.3936630213,1021590.3729751116
122.0,111437.20795854412,260038.77727216066
123.0,99999898.00400218,99999898.00400218
124.0,99999973.91812795,99999973.91812795
125.0,506385.4073583554,256165.7405636376
126.0,2602884.9084456717,1056368.0117934318
127.0,13680.2538153715,188283.8305929166
128.0,3988126.0160615463,1588747.3711994232
129.0,99998717.6725858,99998717.6725858
130.0,12753.917353712552,12741.516042359966
131.0,99999771.93701509,99999771.93701509
132.0,99999916.41329324,9534354.47886476
133.0,50595580.37337144,99996240.35352129
134.0,535.616554470477,834.8440669206799
135.0,99999942.78632784,99999942.78632784
136.0,28014291.00851917,13192553.413733987
137.0,99999915.03182527,99999915.03182527
138.0,99996159.00299808,99996159.00299808
139.0,99999882.32684755,99999882.32684755
140.0,6769.926288694478,29960.10473812624
141.0,24706157.71641549,62742845.26723107
142.0,86897.62627124437,5496.455842102884
143.0,27414.829369807536,27849.747303284326
144.0,99999884.612925,99999884.612925
145.0,2128221.63322071,9200090.629198253
146.0,35799.14048460437,102962.55643362584
147.0,99997148.6575988,99997148.6575988
148.0,99999951.09698908,99999951.09698908
149.0,278265.73036344914,593971.9449380302
150.0,542266.375342918,508849.8175410974
151.0,99995259.7313964,99995259.7313964
152.0,99999986.27493262,99999986.27493262
153.0,15019633.62040748,1081233.215382154
154.0,99999890.57015146,99999890.57015146
155.0,299937.28319084673,137562.11963780053
156.0,99999994.48302254,99999994.48302254
157.0,23887313.252282035,2728356.148106944
158.0,99999992.41306248,99999992.41306248
159.0,4273145.292497201,9378454.227024807
160.0,99999349.87164234,99999349.87164234
161.0,838137.3085284096,2322314.851485188
162.0,77415.309503532,671214.6238955696
163.0,11170092.12895428,7943414.708298115
164.0,99999931.9405708,99999931.9405708
165.0,20927.739159724908,29321.48917773331
166.0,25867.483431410008,35043.02167668569
167.0,2109253.808388045,1281175.1257361528
168.0,27516.72071349513,33388.15577894764
169.0,23872.524455686664,115906.11996029806
170.0,52240.5120710985,143100.66588429085
171.0,141522.18977656172,98832.89211478423
172.0,140780.71237196613,196989.31674075391
173.0,99999945.58597702,99999945.58597702
174.0,99999951.31909472,99999951.31909472
175.0,237137.18758949253,248115.69694462672
176.0,31881989.08085256,71784738.16810629
177.0,99999985.079278,9060866.561902665
178.0,5361105.255893237,11073834.656153832
179.0,10273511.026968677,8782288.24734337
180.0,99999472.630748,99999472.630748
181.0,99999949.503387,99999949.503387
182.0,17551.34093915603,44487.73806648422
183.0,99999994.61659762,99999994.61659762
184.0,99999776.23659588,99999776.23659588
185.0,6096.071175037862,10479.298076277708
186.0,99999860.28602606,99999860.28602606
187.0,1082854.0176417315,6224041.733539803
188.0,103436.06704889207,34922.42830458239
189.0,99999905.07317369,99999905.07317369
190.0,99999205.2511187,99999205.2511187
191.0,38235292.46797121,2985819.136173201
192.0,196853.9301855964,440658.23031727475
193.0,99999902.54290056,99999902.54290056
194.0,241713.07501793336,113107.16229171699
195.0,41046.44575269353,403104.6245921544
196.0,99999178.88356435,99999178.88356435
197.0,2330071.6020781747,2111308.132402424
198.0,42962321.40571287,9411453.000698173
199.0,99999955.9175846,99999955.9175846
200.0,22468.474844709082,15682.50762682521
201.0,29142.101247215254,64789.43892412687
202.0,40629.2007686024,120354.70271350136
204.0,2714282.414247957,9769659.83741576
205.0,357747.7851133218,332388.8638756725
206.0,16143.47562874656,483825.01049794647
210.0,31617.582902381815,452153.49152679095
211.0,102368.32502176936,1007490.8945496336
213.0,51547.56408746456,35657.07179635667
214.0,7675226.996842583,1970371.8898244658
216.0,734259.3955452384,167931.92138185838
218.0,402104.0820992824,403715.6514529976
219.0,348237.6137423097,84906.23910959282
220.0,11517.445049909804,19040.573091486942
221.0,10338.819116388202,1154664.4643520836
222.0,3275.6891282801894,4859.545668736182
223.0,968352.5393181072,528415.8271494264
226.0,8806184.263461445,13562119.951563872
228.0,2988.9654375983678,3152.5403158633867
234.0,4485.45733532154,31673.008528223418
235.0,2217951.0599345984,9883302.22009907
237.0,2864458.044078947,1292639.7360972252
241.0,502794.46558723424,1511347.5243982982
242.0,32342767.73298941,1410689.0795889697
243.0,49824.34673867116,15051.798645763965
244.0,58499.21928705878,47143.72098529534
245.0,384304.3848436273,57934.57072367889
246.0,7006.284080629764,3934.873024617556
250.0,403112.0663874559,80130.28221185143
251.0,1836101.6133339682,3998994.7669094736
255.0,240432.55443272286,36954.34321046792
257.0,81015.18696961456,23110.19966890634
259.0,336967.7133914733,641994.4003173701
261.0,1675970.9868100225,21565482.772611164
263.0,2248.9986915968707,6139.288728402551
264.0,388662.4325224353,5565468.658900336
266.0,14425502.837786656,6905013.202351556
268.0,143072.48895619527,168873.49884205643
270.0,54597.289868006796,37218.48095867477
272.0,138519.93197165855,1220809.7528777916
275.0,36406.70338602175,102604.26498282336
