CMDLINE python collect_times.py
MEM 84.578125 1525737454.8969
MEM 84.824219 1525737454.9975
MEM 85.070312 1525737455.0981
MEM 85.316406 1525737455.1987
MEM 85.316406 1525737455.2993
MEM 85.566406 1525737455.3999
MEM 85.812500 1525737455.5004
MEM 86.062500 1525737455.6009
MEM 86.316406 1525737455.7015
MEM 86.316406 1525737455.8021
MEM 86.566406 1525737455.9027
MEM 86.820312 1525737456.0033
MEM 87.066406 1525737456.1038
MEM 87.312500 1525737456.2044
MEM 87.558594 1525737456.3049
MEM 87.804688 1525737456.4056
MEM 88.050781 1525737456.5063
MEM 88.296875 1525737456.6068
MEM 88.542969 1525737456.7074
MEM 88.796875 1525737456.8080
MEM 89.046875 1525737456.9086
MEM 89.046875 1525737457.0092
MEM 89.296875 1525737457.1097
MEM 89.542969 1525737457.2103
MEM 89.789062 1525737457.3109
MEM 89.789062 1525737457.4115
MEM 90.035156 1525737457.5120
MEM 90.281250 1525737457.6126
MEM 90.527344 1525737457.7131
MEM 90.773438 1525737457.8137
MEM 91.023438 1525737457.9142
MEM 91.273438 1525737458.0147
MEM 91.273438 1525737458.1154
MEM 91.519531 1525737458.2159
MEM 92.023438 1525737458.3163
MEM 92.273438 1525737458.4169
MEM 92.523438 1525737458.5175
MEM 92.769531 1525737458.6181
MEM 93.015625 1525737458.7186
MEM 93.507812 1525737458.8192
MEM 93.507812 1525737458.9197
MEM 93.761719 1525737459.0204
MEM 94.253906 1525737459.1209
MEM 94.500000 1525737459.2215
MEM 94.746094 1525737459.3220
MEM 94.992188 1525737459.4226
MEM 94.992188 1525737459.5231
MEM 95.242188 1525737459.6237
MEM 95.738281 1525737459.7243
MEM 95.738281 1525737459.8248
MEM 95.988281 1525737459.9254
MEM 95.988281 1525737460.0259
MEM 96.238281 1525737460.1265
MEM 96.484375 1525737460.2271
MEM 96.730469 1525737460.3277
MEM 96.730469 1525737460.4283
MEM 96.980469 1525737460.5287
MEM 97.230469 1525737460.6292
MEM 97.476562 1525737460.7297
MEM 97.722656 1525737460.8303
MEM 97.968750 1525737460.9309
MEM 98.218750 1525737461.0315
MEM 98.464844 1525737461.1321
MEM 98.714844 1525737461.2327
MEM 98.960938 1525737461.3332
MEM 99.460938 1525737461.4338
MEM 99.710938 1525737461.5344
MEM 99.710938 1525737461.6350
MEM 99.957031 1525737461.7356
MEM 100.203125 1525737461.8361
MEM 100.695312 1525737461.9367
MEM 100.941406 1525737462.0372
MEM 101.195312 1525737462.1377
MEM 101.441406 1525737462.2384
MEM 101.933594 1525737462.3388
MEM 102.179688 1525737462.4394
MEM 102.429688 1525737462.5399
MEM 102.429688 1525737462.6405
MEM 102.679688 1525737462.7411
MEM 102.929688 1525737462.8416
MEM 103.175781 1525737462.9422
MEM 103.421875 1525737463.0427
MEM 103.671875 1525737463.1433
MEM 103.917969 1525737463.2438
MEM 103.917969 1525737463.3444
MEM 104.167969 1525737463.4449
MEM 104.417969 1525737463.5455
MEM 104.664062 1525737463.6460
MEM 104.910156 1525737463.7466
MEM 104.910156 1525737463.8472
MEM 105.156250 1525737463.9478
MEM 105.402344 1525737464.0481
MEM 105.648438 1525737464.1487
MEM 105.648438 1525737464.2493
MEM 105.898438 1525737464.3498
MEM 106.148438 1525737464.4504
MEM 106.398438 1525737464.5510
MEM 106.398438 1525737464.6516
MEM 106.644531 1525737464.7521
MEM 106.890625 1525737464.8527
MEM 107.390625 1525737464.9532
MEM 107.640625 1525737465.0538
MEM 108.136719 1525737465.1543
MEM 108.136719 1525737465.2549
MEM 108.382812 1525737465.3555
MEM 108.382812 1525737465.4561
MEM 108.878906 1525737465.5567
MEM 108.878906 1525737465.6572
MEM 109.125000 1525737465.7578
MEM 109.125000 1525737465.8584
MEM 109.371094 1525737465.9590
MEM 109.617188 1525737466.0596
MEM 109.867188 1525737466.1602
MEM 110.117188 1525737466.2607
MEM 110.363281 1525737466.3613
MEM 110.609375 1525737466.4618
MEM 110.855469 1525737466.5624
MEM 111.105469 1525737466.6630
MEM 111.355469 1525737466.7636
MEM 111.605469 1525737466.8641
MEM 111.605469 1525737466.9647
MEM 111.851562 1525737467.0652
MEM 112.097656 1525737467.1659
MEM 112.097656 1525737467.2665
MEM 112.097656 1525737467.3671
MEM 112.343750 1525737467.4676
MEM 112.589844 1525737467.5680
MEM 112.839844 1525737467.6685
MEM 113.089844 1525737467.7691
MEM 113.343750 1525737467.8697
MEM 113.593750 1525737467.9703
MEM 113.839844 1525737468.0708
MEM 114.085938 1525737468.1713
MEM 114.332031 1525737468.2719
MEM 114.332031 1525737468.3724
MEM 114.332031 1525737468.4730
MEM 114.828125 1525737468.5736
MEM 115.074219 1525737468.6741
MEM 115.074219 1525737468.7747
MEM 115.320312 1525737468.8753
MEM 115.570312 1525737468.9759
MEM 115.816406 1525737469.0765
MEM 115.816406 1525737469.1770
MEM 115.816406 1525737469.2776
MEM 116.070312 1525737469.3781
MEM 116.316406 1525737469.4787
MEM 116.562500 1525737469.5792
MEM 116.812500 1525737469.6798
MEM 117.062500 1525737469.7803
MEM 117.308594 1525737469.8809
MEM 117.554688 1525737469.9812
MEM 117.554688 1525737470.0818
MEM 117.800781 1525737470.1824
MEM 118.050781 1525737470.2830
MEM 118.050781 1525737470.3835
MEM 118.296875 1525737470.4841
MEM 118.546875 1525737470.5847
MEM 118.792969 1525737470.6852
MEM 119.042969 1525737470.7858
MEM 119.289062 1525737470.8864
MEM 119.535156 1525737470.9869
MEM 119.785156 1525737471.0875
MEM 119.785156 1525737471.1880
MEM 120.281250 1525737471.2886
MEM 120.281250 1525737471.3891
MEM 120.527344 1525737471.4897
MEM 120.773438 1525737471.5902
MEM 121.023438 1525737471.6908
MEM 121.269531 1525737471.7914
MEM 121.269531 1525737471.8922
MEM 121.515625 1525737471.9927
MEM 121.761719 1525737472.0933
MEM 122.011719 1525737472.1938
MEM 122.035156 1525737472.2944
MEM 122.261719 1525737472.3949
MEM 122.507812 1525737472.4955
MEM 122.507812 1525737472.5961
MEM 122.753906 1525737472.6967
MEM 122.753906 1525737472.7973
MEM 123.003906 1525737472.8978
MEM 123.253906 1525737472.9984
MEM 123.503906 1525737473.0990
MEM 123.757812 1525737473.1995
MEM 123.757812 1525737473.3000
MEM 123.757812 1525737473.4006
MEM 124.003906 1525737473.5012
MEM 124.250000 1525737473.6017
MEM 124.250000 1525737473.7023
MEM 124.496094 1525737473.8028
MEM 124.742188 1525737473.9034
MEM 124.992188 1525737474.0039
MEM 125.238281 1525737474.1045
MEM 125.484375 1525737474.2051
MEM 125.484375 1525737474.3057
MEM 125.730469 1525737474.4062
MEM 125.980469 1525737474.5068
MEM 126.230469 1525737474.6073
MEM 126.476562 1525737474.7079
MEM 126.476562 1525737474.8085
MEM 126.722656 1525737474.9090
MEM 126.722656 1525737475.0096
MEM 126.968750 1525737475.1102
MEM 127.218750 1525737475.2108
MEM 127.464844 1525737475.3114
MEM 127.710938 1525737475.4119
MEM 127.960938 1525737475.5124
MEM 128.207031 1525737475.6129
MEM 128.464844 1525737475.7135
MEM 128.710938 1525737475.8141
MEM 128.710938 1525737475.9147
MEM 128.957031 1525737476.0152
MEM 129.207031 1525737476.1158
MEM 129.453125 1525737476.2163
MEM 129.699219 1525737476.3168
MEM 129.945312 1525737476.4174
MEM 129.945312 1525737476.5180
MEM 129.945312 1525737476.6186
MEM 130.195312 1525737476.7191
MEM 130.441406 1525737476.8197
MEM 130.691406 1525737476.9203
MEM 130.945312 1525737477.0210
MEM 131.195312 1525737477.1216
MEM 131.441406 1525737477.2221
MEM 131.441406 1525737477.3227
MEM 131.691406 1525737477.4232
MEM 131.691406 1525737477.5238
MEM 131.941406 1525737477.6243
MEM 132.187500 1525737477.7249
MEM 132.433594 1525737477.8255
MEM 132.433594 1525737477.9260
MEM 132.679688 1525737478.0266
MEM 132.925781 1525737478.1272
MEM 132.925781 1525737478.2277
MEM 133.171875 1525737478.3283
MEM 133.421875 1525737478.4289
MEM 133.457031 1525737478.5292
MEM 133.671875 1525737478.6298
MEM 133.921875 1525737478.7304
MEM 134.187500 1525737478.8309
MEM 134.433594 1525737478.9315
MEM 134.679688 1525737479.0320
MEM 134.679688 1525737479.1327
MEM 134.925781 1525737479.2332
MEM 134.925781 1525737479.3338
MEM 135.171875 1525737479.4344
MEM 135.171875 1525737479.5350
MEM 135.417969 1525737479.6356
MEM 135.664062 1525737479.7361
MEM 135.914062 1525737479.8367
MEM 136.160156 1525737479.9372
MEM 136.160156 1525737480.0378
MEM 136.160156 1525737480.1384
MEM 136.160156 1525737480.2390
MEM 136.406250 1525737480.3396
MEM 136.656250 1525737480.4402
MEM 136.656250 1525737480.5408
MEM 136.656250 1525737480.6413
MEM 136.906250 1525737480.7419
MEM 136.906250 1525737480.8424
MEM 137.156250 1525737480.9429
MEM 137.402344 1525737481.0435
MEM 137.652344 1525737481.1441
MEM 137.652344 1525737481.2446
MEM 137.652344 1525737481.3452
MEM 137.898438 1525737481.4458
MEM 138.144531 1525737481.5463
MEM 138.394531 1525737481.6468
MEM 138.640625 1525737481.7474
MEM 138.640625 1525737481.8479
MEM 138.890625 1525737481.9485
MEM 139.136719 1525737482.0490
MEM 139.382812 1525737482.1498
MEM 139.382812 1525737482.2504
MEM 139.632812 1525737482.3510
MEM 139.632812 1525737482.4516
MEM 139.632812 1525737482.5522
MEM 140.136719 1525737482.6527
MEM 140.382812 1525737482.7533
MEM 140.382812 1525737482.8538
MEM 140.628906 1525737482.9546
MEM 140.628906 1525737483.0552
MEM 140.878906 1525737483.1557
MEM 141.128906 1525737483.2562
MEM 141.128906 1525737483.3567
MEM 141.128906 1525737483.4573
MEM 141.375000 1525737483.5579
MEM 141.375000 1525737483.6585
MEM 141.621094 1525737483.7590
MEM 141.867188 1525737483.8596
MEM 141.867188 1525737483.9602
MEM 141.867188 1525737484.0607
MEM 142.113281 1525737484.1613
MEM 142.359375 1525737484.2617
MEM 142.359375 1525737484.3623
MEM 142.605469 1525737484.4629
MEM 142.859375 1525737484.5635
MEM 142.859375 1525737484.6641
MEM 143.105469 1525737484.7646
MEM 143.355469 1525737484.8652
MEM 143.601562 1525737484.9657
MEM 143.601562 1525737485.0663
MEM 143.847656 1525737485.1669
MEM 143.847656 1525737485.2675
MEM 144.097656 1525737485.3680
MEM 144.097656 1525737485.4686
MEM 144.343750 1525737485.5692
MEM 144.593750 1525737485.6697
MEM 144.839844 1525737485.7703
MEM 145.085938 1525737485.8709
MEM 145.332031 1525737485.9715
MEM 145.332031 1525737486.0721
MEM 145.578125 1525737486.1727
MEM 145.832031 1525737486.2732
MEM 145.832031 1525737486.3738
MEM 146.082031 1525737486.4745
MEM 146.082031 1525737486.5751
MEM 146.328125 1525737486.6757
MEM 146.574219 1525737486.7763
MEM 146.820312 1525737486.8768
MEM 146.820312 1525737486.9774
MEM 147.066406 1525737487.0779
MEM 147.312500 1525737487.1785
MEM 147.558594 1525737487.2792
MEM 147.558594 1525737487.3797
MEM 147.558594 1525737487.4803
MEM 147.804688 1525737487.5809
MEM 148.054688 1525737487.6815
MEM 148.308594 1525737487.7820
MEM 148.554688 1525737487.8826
MEM 148.554688 1525737487.9832
MEM 148.804688 1525737488.0837
MEM 149.054688 1525737488.1842
MEM 149.308594 1525737488.2847
MEM 149.308594 1525737488.3853
MEM 149.554688 1525737488.4858
MEM 149.554688 1525737488.5864
MEM 149.800781 1525737488.6869
MEM 149.800781 1525737488.7875
MEM 150.046875 1525737488.8881
MEM 150.292969 1525737488.9887
MEM 150.539062 1525737489.0893
MEM 150.539062 1525737489.1899
MEM 150.789062 1525737489.2904
MEM 151.035156 1525737489.3910
MEM 151.035156 1525737489.4916
MEM 151.285156 1525737489.5921
MEM 151.285156 1525737489.6926
MEM 151.535156 1525737489.7932
MEM 151.785156 1525737489.8938
MEM 152.031250 1525737489.9943
MEM 152.031250 1525737490.0949
MEM 152.277344 1525737490.1955
MEM 152.523438 1525737490.2961
MEM 152.769531 1525737490.3967
MEM 153.015625 1525737490.4972
MEM 153.265625 1525737490.5977
MEM 153.511719 1525737490.6983
MEM 153.511719 1525737490.7988
MEM 153.757812 1525737490.8994
MEM 153.757812 1525737491.0000
MEM 154.003906 1525737491.1006
MEM 154.003906 1525737491.2011
MEM 154.250000 1525737491.3017
MEM 154.503906 1525737491.4022
MEM 154.753906 1525737491.5027
MEM 154.753906 1525737491.6033
MEM 155.003906 1525737491.7038
MEM 155.250000 1525737491.8043
MEM 155.250000 1525737491.9049
MEM 155.496094 1525737492.0055
MEM 155.746094 1525737492.1060
MEM 155.992188 1525737492.2066
MEM 156.238281 1525737492.3069
MEM 156.238281 1525737492.4077
MEM 156.488281 1525737492.5082
MEM 156.734375 1525737492.6087
MEM 156.734375 1525737492.7093
MEM 156.980469 1525737492.8099
MEM 156.980469 1525737492.9104
MEM 157.226562 1525737493.0110
MEM 157.726562 1525737493.1115
MEM 157.726562 1525737493.2121
MEM 157.976562 1525737493.3126
MEM 158.226562 1525737493.4132
MEM 158.476562 1525737493.5137
MEM 158.722656 1525737493.6143
MEM 158.722656 1525737493.7148
MEM 158.968750 1525737493.8154
MEM 159.214844 1525737493.9160
MEM 159.460938 1525737494.0165
MEM 159.460938 1525737494.1171
MEM 159.710938 1525737494.2177
MEM 159.957031 1525737494.3183
MEM 160.203125 1525737494.4189
MEM 160.449219 1525737494.5195
MEM 160.699219 1525737494.6198
MEM 160.953125 1525737494.7204
MEM 160.953125 1525737494.8209
MEM 160.953125 1525737494.9215
MEM 161.199219 1525737495.0221
MEM 161.445312 1525737495.1227
MEM 161.695312 1525737495.2232
MEM 161.945312 1525737495.3238
MEM 162.191406 1525737495.4244
MEM 162.437500 1525737495.5249
MEM 162.683594 1525737495.6255
MEM 162.929688 1525737495.7260
MEM 163.179688 1525737495.8266
MEM 163.179688 1525737495.9272
MEM 163.179688 1525737496.0278
MEM 163.425781 1525737496.1284
MEM 163.675781 1525737496.2289
MEM 163.925781 1525737496.3295
MEM 163.925781 1525737496.4301
MEM 164.171875 1525737496.5307
MEM 164.417969 1525737496.6313
MEM 164.667969 1525737496.7318
MEM 164.917969 1525737496.8324
MEM 165.414062 1525737496.9329
MEM 165.414062 1525737497.0335
MEM 165.664062 1525737497.1340
MEM 165.914062 1525737497.2346
MEM 166.410156 1525737497.3352
MEM 166.410156 1525737497.4358
MEM 166.410156 1525737497.5366
MEM 166.660156 1525737497.6371
MEM 166.910156 1525737497.7377
MEM 167.156250 1525737497.8382
MEM 167.402344 1525737497.9388
MEM 167.402344 1525737498.0394
MEM 167.648438 1525737498.1399
MEM 167.894531 1525737498.2405
MEM 168.144531 1525737498.3411
MEM 168.390625 1525737498.4417
MEM 168.390625 1525737498.5423
MEM 168.886719 1525737498.6428
MEM 168.886719 1525737498.7434
MEM 169.132812 1525737498.8439
MEM 169.382812 1525737498.9445
MEM 169.382812 1525737499.0450
MEM 169.632812 1525737499.1456
MEM 169.878906 1525737499.2461
MEM 170.128906 1525737499.3467
MEM 170.375000 1525737499.4472
MEM 170.375000 1525737499.5478
MEM 170.625000 1525737499.6483
MEM 170.871094 1525737499.7489
MEM 171.117188 1525737499.8495
MEM 171.363281 1525737499.9500
MEM 171.363281 1525737500.0506
MEM 171.609375 1525737500.1512
MEM 171.855469 1525737500.2518
MEM 172.101562 1525737500.3523
MEM 172.355469 1525737500.4529
MEM 172.355469 1525737500.5535
MEM 172.605469 1525737500.6540
MEM 172.855469 1525737500.7546
MEM 173.105469 1525737500.8552
MEM 173.402344 1525737500.9556
MEM 173.410156 1525737501.0561
MEM 173.484375 1525737501.1567
MEM 173.500000 1525737501.2573
MEM 173.519531 1525737501.3578
MEM 173.531250 1525737501.4585
MEM 173.550781 1525737501.5589
MEM 173.566406 1525737501.6594
MEM 173.582031 1525737501.7600
MEM 173.601562 1525737501.8605
MEM 173.613281 1525737501.9610
MEM 173.636719 1525737502.0615
MEM 173.660156 1525737502.1622
MEM 173.679688 1525737502.2627
MEM 173.699219 1525737502.3633
MEM 173.722656 1525737502.4638
MEM 173.738281 1525737502.5644
MEM 173.757812 1525737502.6650
MEM 173.777344 1525737502.7656
MEM 173.792969 1525737502.8662
MEM 173.816406 1525737502.9667
MEM 173.843750 1525737503.0673
MEM 173.871094 1525737503.1678
MEM 173.898438 1525737503.2683
MEM 173.929688 1525737503.3688
MEM 173.949219 1525737503.4694
MEM 173.968750 1525737503.5699
MEM 173.992188 1525737503.6703
MEM 174.015625 1525737503.7708
MEM 174.031250 1525737503.8714
MEM 174.046875 1525737503.9719
MEM 174.050781 1525737504.0725
MEM 174.062500 1525737504.1731
MEM 174.082031 1525737504.2736
MEM 174.097656 1525737504.3742
MEM 174.109375 1525737504.4748
MEM 174.125000 1525737504.5754
MEM 174.140625 1525737504.6759
MEM 174.160156 1525737504.7765
MEM 174.179688 1525737504.8770
MEM 174.195312 1525737504.9775
MEM 174.234375 1525737505.0781
MEM 174.265625 1525737505.1786
MEM 174.304688 1525737505.2792
MEM 174.335938 1525737505.3797
MEM 174.359375 1525737505.4803
MEM 174.375000 1525737505.5809
MEM 174.414062 1525737505.6814
MEM 174.453125 1525737505.7820
MEM 174.480469 1525737505.8825
MEM 174.511719 1525737505.9831
MEM 174.546875 1525737506.0837
MEM 174.574219 1525737506.1843
MEM 174.613281 1525737506.2849
MEM 174.648438 1525737506.3855
MEM 174.691406 1525737506.4860
MEM 174.726562 1525737506.5865
MEM 174.750000 1525737506.6872
MEM 174.777344 1525737506.7877
MEM 174.808594 1525737506.8883
MEM 174.843750 1525737506.9888
MEM 174.875000 1525737507.0894
MEM 174.906250 1525737507.1899
MEM 174.941406 1525737507.2905
MEM 174.996094 1525737507.3910
MEM 175.027344 1525737507.4916
MEM 175.042969 1525737507.5922
MEM 175.058594 1525737507.6928
MEM 175.058594 1525737507.7935
MEM 175.078125 1525737507.8940
MEM 175.097656 1525737507.9946
MEM 175.101562 1525737508.0952
MEM 175.101562 1525737508.1958
MEM 175.101562 1525737508.2963
MEM 175.101562 1525737508.3969
MEM 175.101562 1525737508.4976
MEM 175.132812 1525737508.5981
MEM 175.140625 1525737508.6987
MEM 175.156250 1525737508.7992
MEM 175.171875 1525737508.8998
MEM 175.203125 1525737509.0004
MEM 175.222656 1525737509.1009
MEM 175.230469 1525737509.2016
MEM 175.230469 1525737509.3021
MEM 175.230469 1525737509.4027
MEM 175.230469 1525737509.5033
MEM 175.230469 1525737509.6038
MEM 175.230469 1525737509.7044
MEM 175.230469 1525737509.8050
MEM 175.230469 1525737509.9056
