ID,Norm,Mean,Mean_Error,Sigma,Error,IOU
30.0,42.566316593086505,6.1510741617220095,0.0011442504166593907,0.34813082729983924,0.0011442504078613648,0.9800090544483668
31.0,33.145471073737134,6.857665955557653,0.0007653077910111596,0.3770233602517586,0.0007653077861599858,0.9878784015629448
33.0,22.328159353212666,4.567772346337954,0.005188081075603326,0.5586818659494793,0.0051880811707639,0.9434567477219907
34.0,9.115887666646637,4.722075907706097,0.0007939293185025264,0.6418870564415678,0.0007939293290124307,0.9923337123822641
36.0,18.422581476536706,4.796572399173106,0.00885195934305966,0.6552659056672637,0.008851971468243229,0.9188685248816749
37.0,27.510888550887824,4.892188808336024,0.0010855980339975167,0.4223954686592038,0.0010855980293158528,0.9844850387054144
38.0,6.956409099277104,4.9943850545906425,0.004614552918492287,-0.9091346708794776,0.0046145529059371075,0.9689889698146145
41.0,13.961922707797493,5.774180773099108,0.0008677969831145974,0.5686771968319808,0.0008677969826111967,0.9910188398751454
42.0,25.305714222698096,5.0750140392048815,0.006985276674359435,0.553097019974239,0.006985281489827275,0.9238404865131488
43.0,24.021945501940387,5.268166485843378,0.005233393591060562,0.5422319246509907,0.005233393777093243,0.9412716215737833
46.0,9.695197840264147,5.359630834337595,0.006609688218397826,0.8264789087861387,0.006609688262191019,0.9511937958100781
47.0,9.75048779836368,5.947807505974428,0.003697243014284633,0.7629782410288908,0.0036972430232370705,0.9703886165648424
48.0,15.520443297189503,5.447491304967799,0.002375658264524465,0.5902799793939123,0.0023756582720691833,0.9754469987633575
49.0,7.292864268757995,5.235681038560277,0.04463110821088567,1.0421510007173427,0.04464110203094326,0.7731475335723272
50.0,32.16966867056516,4.365881175756164,0.001392961538930839,0.4027271882007299,0.0013929615431868892,0.9789545878953951
53.0,9.576909466939798,5.293070492495636,0.003948067974687096,0.7752016659613936,0.003948067999014518,0.9688853456782208
54.0,103.82392839623672,6.188095471417864,0.0020456121374272484,0.25302109330570477,0.002045612143399636,0.9506659081174735
55.0,4.55158113692527,7.6344881102786495,0.0038883431070439135,-0.4442518034829662,0.003888343096420542,0.9440084390694424
58.0,30.301994561645238,5.337458278176063,0.0023401008405352663,0.43868752728139326,0.002340100853686865,0.9674052220516286
59.0,19.147101808698068,5.099529332757732,0.0067396312332406155,0.619976272805646,0.006739632099212238,0.9340446918113522
60.0,1535.9496509108028,4.25588262600157,0.0016594424751102679,0.07746392591913663,0.0016595353704178782,0.8768852206329892
61.0,7.487561404706724,5.04703264399252,0.00924654528548647,-0.9692628493249074,0.009246545457170971,0.9419476338728842
62.0,61.583437976170785,4.951329760130032,0.0064442383285547395,0.37423418770747185,0.006444319499844779,0.8985785541120519
63.0,20.542836549638128,5.0521441966839955,0.0021555353952516705,0.5155279539656492,0.002155535401279007,0.9744831951262725
65.0,40.85964638047124,2.5756751009322025,0.017326960988781462,0.47816551361542015,0.01732957968252697,0.8037797373401334
66.0,18.104498123113288,6.52827365904158,0.0029704025059241797,0.5661885394864303,0.0029704024947830713,0.9679480830410674
67.0,14.59620339652187,7.24298619342465,0.001746039167437768,0.5881366869069257,0.0017460391768969186,0.9819801582729966
69.0,5.860075548534645,4.311780976946628,0.014071335404293436,1.144323744914335,0.014071342644527139,0.9257938001441245
70.0,43.75497273535571,5.835089846853207,0.0053661900134478226,0.42122266616515475,0.005366194058744381,0.9232067029582783
71.0,4.1884319632917455,5.313740136783351,0.0070407650123638565,-1.1970687708952163,0.007040765023655054,0.9640737075865473
73.0,17.790900820380585,4.967442183063932,0.0008983139658269789,0.5090647006414715,0.000898313957746563,0.9895540497368505
75.0,12.185282478971573,5.487541982125676,0.0013839995587646065,0.5097051609788413,0.0013839995419991432,0.9834112105048425
