Unnamed: 0,runstring,t
64,0000064.bin,1997.0231066454814
65,0000065.bin,7119.863597787701
66,0000066.bin,4402.7358536303245
67,0000067.bin,269.9884627592046
68,0000068.bin,5415.821896252356
69,0000069.bin,474.21363008727246
70,0000070.bin,5200.712986044723
71,0000071.bin,1822.7270167231043
72,0000072.bin,1336.4708255416692
73,0000073.bin,3340.5518762774805
74,0000074.bin,1893.5429978731056
75,0000075.bin,2681.7420467217876
76,0000076.bin,1305.2025236508941
77,0000077.bin,8356.412010897737
78,0000078.bin,2114.0681312298116
79,0000079.bin,1968.3621802820837
80,0000080.bin,9621.760345348004
81,0000081.bin,3968.3884459528567
82,0000082.bin,4032.0415958865838
83,0000083.bin,18656.05707149818
84,0000084.bin,2517.0135456692237
85,0000085.bin,2460.807235657034
86,0000086.bin,1496.4130237321867
87,0000087.bin,2600.53897819447
88,0000088.bin,5235.577677744953
89,0000089.bin,2767.336929537531
90,0000090.bin,1415.3813349487612
91,0000091.bin,2706.6198713121744
92,0000092.bin,9614.434732099868
93,0000093.bin,3025.19384612794
94,0000094.bin,3480.9646946514163
95,0000095.bin,6414.363896203587
96,0000096.bin,880.1071716632783
97,0000097.bin,4987.836021379272
98,0000098.bin,1088.1168736201269
99,0000099.bin,141.57636433045823
100,0000100.bin,116865.20186599389
101,0000101.bin,10054.382350554406
102,0000102.bin,3134.4793636949366
103,0000103.bin,1480.4111090315225
104,0000104.bin,1755.2629661257745
105,0000105.bin,747.1509376170162
106,0000106.bin,1355.1225307596044
107,0000107.bin,1855.8512610094933
108,0000108.bin,5536.158524072306
109,0000109.bin,578.6409114679942
110,0000110.bin,2643.2169125020596
111,0000111.bin,2225.9600212752634
112,0000112.bin,3887.965899218389
113,0000113.bin,11926.480839147895
114,0000114.bin,3055.222369422933
115,0000115.bin,1721.8938325903039
116,0000116.bin,3162.3836984352743
117,0000117.bin,3322.1345997965905
118,0000118.bin,6261.24033800606
119,0000119.bin,17180.11397660645
120,0000120.bin,6120.611433345776
121,0000121.bin,793.9684888264493
122,0000122.bin,4782.4672263705825
123,0000123.bin,2427.14836177973
124,0000124.bin,8849.450156787047
125,0000125.bin,2774.364348256999
126,0000126.bin,6529.79414142439
127,0000127.bin,3980.288000064043
128,0000128.bin,589.8430542042139
129,0000129.bin,1455.6065076952066
130,0000130.bin,177.9536664034542
131,0000131.bin,827.0987514559989
132,0000132.bin,1451.5359583103852
133,0000133.bin,2735.8033905659636
134,0000134.bin,2519.097325348244
135,0000135.bin,3605.647856655843
136,0000136.bin,273.06469588000846
137,0000137.bin,19305.1477190598
138,0000138.bin,924.3617684496145
139,0000139.bin,275.84531371628566
140,0000140.bin,9310.576324756443
141,0000141.bin,1825.320779331428
142,0000142.bin,419.6748311473192
143,0000143.bin,1834.1879482152287
144,0000144.bin,6823.6289982656845
145,0000145.bin,4818.912306320987
146,0000146.bin,18584.99777575327
147,0000147.bin,4957.705186441467
148,0000148.bin,2547.210295985477
149,0000149.bin,219.91756716441384
150,0000150.bin,739.9916885458562
151,0000151.bin,3133.854602355332
152,0000152.bin,2018.5924186513332
153,0000153.bin,2319.38792103324
154,0000154.bin,626.1252091232883
155,0000155.bin,1226.0422530026383
156,0000156.bin,3779.808964291467
157,0000157.bin,1615.25753271186
158,0000158.bin,2856.81020465092
159,0000159.bin,2720.401304018091
160,0000160.bin,2207.584873196631
161,0000161.bin,6299.532046243708
162,0000162.bin,1971.1397889445745
163,0000163.bin,3213.8372368621426
164,0000164.bin,1352.1349965559173
165,0000165.bin,3857.7466517621547
166,0000166.bin,212.67750033936827
167,0000167.bin,11512.764169275484
168,0000168.bin,7035.451463236418
169,0000169.bin,888.1445256603434
170,0000170.bin,5592.003446551494
171,0000171.bin,775.7182930736554
172,0000172.bin,5066.9498645577905
173,0000173.bin,1915.2716526788279
174,0000174.bin,2416.6450632862284
175,0000175.bin,3229.1688228184817
176,0000176.bin,269.4971080279191
177,0000177.bin,4498.305996365906
178,0000178.bin,2825.4252614383363
179,0000179.bin,4150.082082910124
180,0000180.bin,1168.9986770000771
181,0000181.bin,2636.313729581086
182,0000182.bin,84.6714967857862
183,0000183.bin,8621.660024404784
184,0000184.bin,1744.2115685563388
185,0000185.bin,1770.8268314206796
186,0000186.bin,2252.32108087167
187,0000187.bin,2859.6600334403815
188,0000188.bin,7593.065571270471
189,0000189.bin,6160.602750345354
190,0000190.bin,4134.027436110812
191,0000191.bin,38003.8871340635
192,0000192.bin,2943.8676881532097
193,0000193.bin,145.92031844915468
194,0000194.bin,8387.384267524274
195,0000195.bin,2599.92639683511
196,0000196.bin,9285.0300343536
197,0000197.bin,2457.537269196077
198,0000198.bin,4637.858190779402
199,0000199.bin,4572.474481008742
200,0000200.bin,2107.6988613252065
201,0000201.bin,6609.527157477059
202,0000202.bin,5861.739567809355
203,0000203.bin,21234.563523778335
204,0000204.bin,1241.8265042923283
205,0000205.bin,3789.2431471072646
206,0000206.bin,340.3390254272696
207,0000207.bin,4218.431832792342
208,0000208.bin,5309.934737139555
209,0000209.bin,2757.9470245322696
210,0000210.bin,3537.86397389258
211,0000211.bin,795.2410818171417
212,0000212.bin,2287.079592024232
213,0000213.bin,445.7617694791892
214,0000214.bin,879.8982491792755
215,0000215.bin,2972.0359702301416
216,0000216.bin,3083.9582385792623
217,0000217.bin,4849.766918668497
218,0000218.bin,1528.0113314396
219,0000219.bin,2105.336948214954
220,0000220.bin,7690.966962210069
221,0000221.bin,4910.752365953812
222,0000222.bin,234.17416235416633
223,0000223.bin,2257.042184508355
224,0000224.bin,2973.0609513911945
225,0000225.bin,1094.3256543535701
226,0000226.bin,2380.9681816232246
227,0000227.bin,4225.770485783952
