ID,Anderson_P,KS_P,ShapiroW
2313.0,0.0036197996452695777,0.027778438664775706,8.464625213863014e-14
2299.0,0.0034085225536080632,0.0277784386647761,6.722381271160715e-15
1918.0,0.043963641713244156,0.0277784386647761,1.7126003393208578e-10
62.0,0.002934148763453097,0.027898179221742838,1.8438493775495388e-16
2170.0,0.00842302023898728,0.027898179221742838,3.902984706261048e-13
1911.0,0.01766462835163993,0.027898179221742838,1.006775208414344e-15
2344.0,0.047013359824938525,0.03614094919279284,3.195220509618485e-13
1337.0,0.07808404319304099,0.036140949192793134,1.7574590174262994e-06
20041.0,0.07478307397598058,0.04085017173832371,1.647503289348151e-08
42.0,0.016920359026684453,0.04644173907524329,1.1634704769961548e-18
1806.0,0.013153046241516572,0.047966840670262814,2.8200317081505943e-11
1852.0,0.05939301920727943,0.05039167517493068,2.0927716377627803e-06
24008.0,0.07213352111710886,0.05248612113537939,6.878321467951309e-09
1635.0,0.038010569222060114,0.058987798640959474,2.256394182609256e-08
2110.0,0.034960093996591314,0.059197199379241984,3.379613212547983e-13
1217.0,0.061707726076534034,0.05919719937924241,7.426461667847661e-09
2248.0,0.07705416701201982,0.06414351239769694,3.288940035872656e-07
2383.0,0.0890986740646912,0.06617603592390908,2.4077053827238626e-13
17641.0,0.019479721768816734,0.06663127690029398,1.992793485783295e-09
2032.0,0.060134528296278814,0.06663127690029443,8.770094837018405e-07
1627.0,0.006471935712449593,0.06663127690029481,2.203011358338741e-15
2135.0,0.05368172224287124,0.07448415516588586,8.594505516157369e-07
2206.0,0.14766572047227192,0.07459996002542094,8.886513053196765e-11
2259.0,0.0765556796108136,0.07484708382520615,2.0940758016507743e-09
1107.0,0.01128995852169989,0.07484708382520615,3.1772002563601465e-14
12840.0,0.00770820791875643,0.07484708382520658,6.049536192660121e-18
1248.0,0.02850085723471772,0.07484708382520708,1.7342332887458082e-17
2176.0,0.07689702838918716,0.08204044865557877,6.173246358542883e-09
2340.0,0.054636162159036314,0.08283787081013695,7.934682078047928e-11
23005.0,0.08419872526886625,0.08731235700451455,4.057437195115199e-07
1412.0,0.05811795290364826,0.09358098548667759,9.326523081121859e-16
2095.0,0.1612183401232635,0.09386953704676501,5.694726912253145e-09
1999.0,0.047812367892362574,0.1035630968475245,9.230562980633295e-10
1929.0,0.04416121384742619,0.10418267614440002,3.552512498572469e-05
1350.0,0.13134227348240307,0.1048034458237008,1.3887349386773606e-12
19197.0,0.03193129621176138,0.1048034458237008,3.604954225758239e-12
1899.0,0.1327012451576224,0.11544144677060174,1.4045146989882795e-10
22.0,0.057312807932275486,0.11643955043464507,1.7919813410927077e-09
1408.0,0.031147668253506393,0.11677281598391237,9.571085209916699e-15
2214.0,0.04924679965322504,0.11683070684754789,2.1740050623435259e-13
1206.0,0.038331539264542844,0.12463386757775416,3.62062255176987e-11
1648.0,0.18267259388314203,0.1298437801612358,3.845473273145217e-09
1625.0,0.16917751865629987,0.12984378016123646,6.77703212659253e-07
24923.0,0.037782892189070466,0.1298437801612373,4.537154072586924e-13
1261.0,0.0863350820855145,0.14332147755888414,2.0097698123235606e-14
28.0,0.22724746971442847,0.14408243524623565,0.00013492837024386972
