ID,Anderson_P,KS_P
1403.0,0.0016635734816917895,0.006185603570160095
1408.0,0.03156128888808469,0.12051526066065596
1412.0,0.05882188660723367,0.09680985755528934
1424.0,0.001,4.955881909979731e-13
1426.0,0.001,6.472564516066997e-07
1438.0,0.001,3.209982841805882e-05
1449.0,0.001,9.015416893846455e-11
1476.0,0.001,1.4776675436423948e-07
1488.0,0.001,3.9587400002181794e-05
15003.0,0.021158812729576874,0.20687614236298282
1504.0,0.001,1.7492235820299696e-06
1507.0,0.001,0.0012207544622917959
1508.0,0.001,9.520860663442335e-27
1513.0,0.25,0.28614090096326394
1514.0,0.0138820647765815,0.0014488954599620356
15220.0,0.1261483608376891,0.5362766985932181
1590.0,0.022934750127311856,0.003311056963176061
1598.0,0.001,0.0010264669536591562
1601.0,0.001,1.614348883239596e-67
1613.0,0.001,0.0012207544622917959
1616.0,0.25,0.5362766985932181
1617.0,0.001,6.990901300156074e-06
1625.0,0.16858147256466546,0.13385273551786803
1627.0,0.006372752292553337,0.06917625399020766
1635.0,0.0385277447280139,0.06132010921055445
1636.0,0.0012214818815716021,0.0038826726503625613
1640.0,0.001,4.148242783943996e-30
1646.0,0.2253387902479896,0.5362766985932181
1648.0,0.18171643213533262,0.13385273551786803
1657.0,0.001,1.71066707235859e-10
16588.0,0.18718175136194853,0.26188207665808055
1667.0,0.001,0.00023854664270315346
1675.0,0.001,0.0011849320206294197
1689.0,0.0015508120135653912,0.0007156490014679809
1691.0,0.009726235660819147,0.025633868930359294
1720.0,0.001,1.2933134970403573e-08
1742.0,0.001,5.3782000899236435e-09
1753.0,0.20006738250835215,0.3136800387320582
17641.0,0.019669532345901283,0.06917625399020766
1766.0,0.001,2.2201499211399483e-05
1768.0,0.010504080702972316,0.0007115078950895565
1775.0,0.001,2.285036637582163e-15
1785.0,0.001,3.979777583324821e-08
1791.0,0.0034043324597353318,0.0008613642727365059
1796.0,0.18857636717113627,0.18073052795192102
1799.0,0.00223131099114347,0.00010956387707040737
1805.0,0.0022186404755960834,0.017171739709131783
1806.0,0.013200719270058881,0.04999527050235823
1810.0,0.25,0.644692235913953
1815.0,0.04166846092880945,0.025522208476155345
1819.0,0.001,4.312386962685144e-45
1823.0,0.25,0.5005673707894058
1827.0,0.001,0.0001969751018672361
1829.0,0.001,5.997303182676252e-61
1831.0,0.001,0.00028323212749900334
1837.0,0.001,3.4297459018708595e-16
1838.0,0.001,8.884534791639888e-05
