,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
35,12840,0.10076674721625335,4.709327193138387,0.6180565982299585,0.019607806453783783,0.013718526917242829,7.236297480157026e-08
36,1308,0.10120429560142435,5.589379359002865,0.599029676112061,0.018755672082172117,0.01363771734406509,6.541655288620363e-08
37,1313,0.12144184555631309,5.814025475761334,0.48996014594748655,0.0158797372098189,0.01095050552288785,3.023860041780597e-08
38,1323,0.13133137582626317,5.917229608926309,0.46082827021683714,0.014831516558785536,0.010316519472935345,2.337656652929223e-08
39,1324,0.12489062145027817,6.060006459306528,0.48927635600280667,0.01575557177041888,0.010957405426316975,2.980761506549984e-08
40,13362,0.1547382656396723,2.077532560330527,0.3856466171676097,0.012347284279681577,0.00871343396772028,1.1574772115679812e-08
41,1337,0.14073067192623057,4.70643123496933,0.4396075553409687,0.0140410049673784,0.00992149778408081,1.9407646639938507e-08
42,1344,0.07274830748811478,5.506039135248322,0.8645545075045254,0.02794911971893927,0.019887961821175693,3.0899988985837154e-07
43,1350,0.13056341215314066,5.821303468457929,0.46536561132114695,0.01431775229375058,0.010429065494477498,2.2294039600110363e-08
44,1356,inf,4.5561195007070445,0.06062266342765451,inf,inf,inf
45,1364,inf,4.704746532124256,0.048402364573731795,inf,inf,inf
46,1366,0.2774756374918857,5.229426780153744,0.21614890897688918,0.006868542488484521,0.004657577580008851,1.0231830467073165e-09
47,1375,0.15164932162797112,4.7606195222247925,0.40459524604444597,0.01287388071454871,0.009016147738499193,1.3474237774656976e-08
48,1379,0.15829303160143626,5.30673524025146,0.37914382169954963,0.012018964552566005,0.0084811263696698,1.0385222907994457e-08
49,1396,0.35156002172431255,4.126434719797174,0.17187021050110088,0.005583790758476066,0.0038666276566059633,4.661518503205989e-10
50,1403,0.16658164226380223,4.959764573120862,0.3666343728345549,0.01161616309027697,0.008266025422292936,9.214790261807001e-09
51,1408,0.13097243416674817,4.560462618799376,0.464624265576889,0.01417189158831568,0.010436608176364617,2.1878491993621148e-08
52,1412,0.12248185774832024,5.307253549995064,0.48831965895617147,0.015025859953468666,0.011261905783045796,2.8620287499622887e-08
53,1424,inf,4.138168867963808,0.043596908499997415,inf,inf,inf
