,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant,maxstddetrended,maxda,tlyap,mind,maxm,KSpval
124,1918,0.18960936129775915,6.201519542053381,0.3252172982480697,0.010259777284964385,0.0073019548196490425,5.612960236874849e-09,0.00037078952436521906,4.381660761543227e-05,424.1680257730368,8.233352334231856,6.787983046655571e-07,0.058987798640959134
125,19197,0.12366348422662672,4.916302296007316,0.4880447877494703,0.015191059731688912,0.010859756114330993,2.7176930409091466e-08,0.003370919828506806,0.0020803345571856345,62.32243333093728,1.021976700601635,4.2194435295337945e-05,0.05248612113537969
126,1922,0.18596379010735906,6.4207968779553,0.33837195962233485,0.010176926668729623,0.007723803134456414,6.178426005648885e-09,0.000590403835082705,3.367176256343934e-05,6387.5237019156975,4.6783921362286955,1.1310720893369748e-06,0.4253468503964972
127,1924,0.2417753077279398,6.432315133696682,0.2475205189825414,0.007848933173845687,0.005736741784739935,2.0276227901071094e-09,0.01156269614968455,9.702097060779551e-05,-10590361.923679221,0.9774212255090453,5.278283811963489e-05,0.005813519714986045
128,1928,0.15488097707919068,4.6761932936776915,0.3880659894261986,0.012675997993296264,0.00871240696455503,1.2195923112409076e-08,0.033107013230544644,2.9277825399799986e-05,8818.503069540031,-2.3059916551254203,5.905282892467285e-05,1.1442532060332325e-11
129,1929,0.17068901104292722,6.7963485168544935,0.360470457674186,0.011545994374749971,0.007723968795893299,7.940991481011371e-09,0.02036697563860232,0.00010347697546497778,5303.986786324152,5.099335447071884,2.0069731347041762e-05,0.07435315680853846
130,1942,0.10954766123255387,5.111159149774932,0.5570179247757637,0.01727222099996323,0.012559299415009106,4.70590789858256e-08,0.012248823340216935,1.624284445944646e-05,2460.2914499,0.8482997009053193,3.4430129207883414e-05,2.919210547889638e-11
131,1943,0.13971942520487665,6.344414732464164,0.4367698077942094,0.013797172441043514,0.009788037944799786,1.823936294130809e-08,0.003415892525835729,2.655591111197933e-06,39668.354517564796,6.30526131065375,1.2188053813305138e-05,0.05919719937924283
132,1946,inf,5.122046548870434,0.015959877728266722,inf,inf,inf,0.0009808142355067872,1.5339478125708804e-05,2657435.480056735,9.37579668376317,4.663219257760955e-05,1.0124820110490479e-25
133,1954,0.1538424560376683,6.965042860169119,0.4259573039449445,0.01368469354763547,0.0095981097678432,1.7206560747400537e-08,0.00443613071102576,2.758243730816011e-05,1049.1378332689321,8.796799729645564,4.967682230980889e-05,0.8108447773050915
134,1957,0.2604613034437175,4.6473926889185755,0.2303781210069674,0.007360297701275487,0.005286626057388673,1.514199588761136e-09,0.002624580576986342,9.160184630695651e-05,3070.6495923005696,4.699731609129134,3.1112712412547735e-06,7.107891836988994e-14
135,19591,0.12957916772921274,6.186539220566393,0.4654918886905984,0.014864073748293847,0.010367052842203944,2.372739004688053e-08,0.00038480380901630997,0.0004215297118536073,516.3510241021144,3.5040004517244974,4.831207848829426e-07,0.39352654602675474
136,1971,0.07360466671862312,5.4088854819769905,0.8092244732949039,0.0256534389158849,0.018321234526529825,2.2082386861654625e-07,0.0008682701334909979,0.0009725333266482614,95.35979065100948,4.314736797029461,5.457005024010179e-06,8.583852745037577e-08
137,1979,0.019521871635671748,6.054999918576428,0.5127944958919882,0.011171120347338387,0.008225343213119614,8.442238696396572e-09,0.008429052975776669,0.01051484081598031,-288915.8947682696,0.6074709464609935,6.670043990560559e-05,0.016837656561178506
138,19898,0.1559520796452547,4.878607969431551,0.3903653846522062,0.01227093994991341,0.008777195181407717,1.1576899785721578e-08,0.0014004466746750245,0.000894912925567435,86.06829353802945,3.6200559254311075,1.2381673896100151e-05,1.6512426018319553e-07
139,1992,0.24199728170661464,4.727600131306162,0.24744033595279946,0.007937919387873273,0.005632829537936581,1.9959824678187342e-09,0.0006714787835090482,6.652703088359231e-05,-1215915.1407553877,6.182490998969335,1.3872926371091192e-05,1.4298785797270848e-30
140,1996,0.09502534309994616,4.8696834899212815,0.6309686181333655,0.02061358627876606,0.014250341942267581,8.611439340737718e-08,0.01528622812351123,0.0010355121475481568,63.693887929250096,1.7634119798548578,1.8556897718462504e-05,0.0036096919759918272
141,1999,0.11084056252908148,6.36934310949901,0.5605549625755153,0.01743322379471414,0.012235577854016369,4.5502983545357536e-08,0.0001322172813943345,2.6504917991496284e-05,969.6318386953016,5.799529392849656,5.000455036102234e-06,0.15793552415493844
