,betaouter,nearpair,betanear,betafar,numfixedpointsnear,jnear,knear,strengthnear,C_AMDnear,EMcrossnear,numfixedpointsfar,jfar,kfar,strengthfar,C_AMDfar,EMcrossfar,numfixedpointsouter,jouter,kouter,strengthouter,C_AMDouter,EMcrossouter,unstableinNorbits,tlyap,megno,EMmednear,EMmaxnear,EMslopenear,EMrollingstdnear,Zcommednear,Zsepouternear,ZfreeICnear,ZfreeOCnear,Zfreenear,Zstarmednear,Zstarstdnear,Zstarslopenear,EMmedfar,EMmaxfar,EMslopefar,EMrollingstdfar,Zcommedfar,Zsepouterfar,ZfreeICfar,ZfreeOCfar,Zfreefar,Zstarmedfar,Zstarstdfar,Zstarslopefar,EMmedouter,EMmaxouter,EMslopeouter,EMrollingstdouter,Zcommedouter,Zsepouterouter,ZfreeICouter,ZfreeOCouter,Zfreeouter,Zstarmedouter,Zstarstdouter,Zstarslopeouter,testnear,testfar,testouter,KSpval,AMDerr,EMslopemax,Zstarslopemax
204,37.46007840584246,23,2.9345057328010244,20.11489689826219,3.0,9.0,1.0,0.05915123230899408,0.14546922385313146,0.4995985988349835,,,,,0.03110066269641935,0.6169746506410674,1.0,2.0,1.0,0.014215854436195403,0.02343018267801957,0.07827164675752006,False,,,0.4621351637372794,0.5820523994196436,0.41348866801582096,0.013267512887962464,0.0063921203195225615,0.07989568536607004,,0.5440546376920463,,,0.32788203220387296,,0.0909608898563294,0.10992016666767608,0.0816339825072889,0.010547390191330344,,,,,,,,,2.2319259029330194,2.8514803111684612,1.979726731403414,0.014105476879916153,0.2328303289037144,,,,,0.00018214233739731743,1.1311943416904657,-0.0004166726534954639,3.7754561635166777,3.846134158032208,3.7752058133241495,0.027130694162290005,113.42068738042757,0.41348866801582096,
205,9.87450369691138,23,2.5190823147607118,13.177386529809628,3.0,13.0,1.0,2.3194944577078216,1.3859839561797371,0.14725868919122018,3.0,5.0,1.0,0.009786137198258564,0.8388512224283704,0.21038786118094754,3.0,4.0,1.0,0.1501998110550121,0.31152687784240224,0.05502610055124653,False,1434.1286712854776,8.468111802403964,0.2950269347249951,0.32011780373240994,-0.001980590142354122,0.013102010647076235,0.0106933237448771,0.3192557290767775,,,0.12312363068008356,0.2904841622130476,0.04245341500437329,-0.0017875351982537477,0.23707504585824324,0.34123186050855403,-0.022193536024388085,0.04058896522741027,0.03466756515094617,0.3450982305124133,1.0553190488319963,,,,0.13109404232662575,,0.3654773652033295,0.9125842034224652,0.053442431502815885,0.1317744576058658,0.012471373014476358,0.5192272917473161,,,0.55709625568841,0.3643489078116586,0.5586698762973044,0.018610499537267528,0.3330342512928409,0.8569848777847147,3.2525864945588387,0.012432141728521395,0.06403700246148905,-0.001980590142354122,-0.0017875351982537477
206,14.931074031959467,23,3.742533947030496,12.799459214387742,3.0,6.0,1.0,1.4837053722605145,1.8856928763631464,0.3046166590972485,3.0,3.0,1.0,0.2697008071245565,1.7849513767026342,0.4729655338469794,,,,,0.6333605607236477,0.12904087463226374,False,1106.6104921702204,10.049968709837724,0.3083227495675052,0.3404016325382204,-0.0033805754178333355,0.016219430769930224,0.03440564780398135,0.3229799941548661,,,0.14206886904078184,0.30338333868244616,0.031766615513662624,-0.0032000162005678874,0.5155291917337654,0.6637047983009368,-0.027273142481686233,0.015326991221989909,0.0992850968339046,0.5227991325595585,1.2382720864847467,,,,0.2437394684166673,,1.8535563878253365,2.1319054532256616,0.19820434361445666,0.008726622368092908,,,,,,,,,3.1869060406292404,0.6260320878116405,3.850462453652727,0.01490529041125019,0.051652317852885835,-0.0033805754178333355,-0.0032000162005678874
207,16.93101982631268,12,5.646224975129617,11.323479646492704,3.0,4.0,1.0,0.2003801539617337,0.9058239421703675,0.20484003836709766,2.0,5.0,2.0,1.0972843690653302,0.20226884880950866,0.6937040265041323,,,,,0.054646805255288346,0.4057501183307163,False,4211.622713401058,4.115998233578825,0.5769001782660329,0.6832711029355494,0.04328029038476972,0.04634220787935993,0.021543318145078254,0.6373121098900383,,,0.5075269554411725,0.5953579734867529,0.036297604528868085,0.03412639377604715,0.148925180315697,0.21835336990794216,-0.0009672386214907687,0.04384124273521568,0.058802415076415836,0.02091139320437216,,0.6983312406752828,,,0.3165780986575727,,0.12583905577860074,0.20057278181025484,-0.04065716618296192,0.027811776250791075,,,,,,,,,2.7447449368691954,0.8603386407052366,3.244230837314533,0.1237816725256176,0.20225366585398624,0.04328029038476972,0.03412639377604715
208,21.380727849512226,23,4.827425514192976,17.038914528148087,3.0,35.0,2.0,0.07344877554103252,20.367122763585712,0.24452036100781996,1.0,4.0,1.0,0.004888763234460519,0.18211280046946696,0.2944322482214794,3.0,3.0,1.0,0.01707449989331437,0.4825206905041514,0.04010531991074901,False,170.74901335340522,67.96554374383425,0.065559219375308,0.09449336316140618,-0.011541525419489305,0.03266260643941237,0.003120199791641824,0.07837287085490531,1.336289195615868,,,,0.06710381334398449,,0.10958774587458804,0.1211752842108482,0.005268673500737257,0.003974723969944807,0.028663324910343894,,,,,0.00022949628283720284,0.02574160908008884,-4.7274871266087305e-06,0.7562814619270629,1.1528849889459256,-0.15381339523603552,0.015064246854603485,0.03193396391632553,2.146222253877132,0.5671989438425182,,,,0.05642694508709314,,5.500849937150173,3.2741455235115016,0.04878864460704512,0.3599028659647988,0.01198213768433353,0.005268673500737257,-4.7274871266087305e-06
209,15.470125927661453,23,6.5083740243627455,8.607212683953192,3.0,7.0,2.0,0.2609687807112651,0.4782558275989935,0.31243606376804384,3.0,3.0,1.0,0.6269533458232551,0.4603639492738264,0.6428560984846184,1.0,2.0,1.0,0.04900993788963332,0.0748019436348192,0.2517608619866241,False,364.64290171848677,28.793043213819576,0.15580351010218302,0.28407155590952216,-0.014409327663497928,0.07862097110690418,0.044957250589455884,0.06000419731542962,,0.06724163924386857,,,0.4903433734935074,,0.10977079605865576,0.15392401589667226,0.004838058456792578,0.06424854457270619,0.03886088967715656,0.12076913983928728,,,0.3280110974917828,0.11366185125366468,0.13368603352230962,0.002869938740306043,0.1186123643873449,0.22313285058585014,0.003962057843665247,0.0667365549969692,0.05072292324330712,,,,,0.0045529356395614725,0.055886940704368525,-0.00034136931580304534,0.5775985573555511,2.1860121216705384,3.459772552669113,0.7613652067734002,0.15355186650012573,0.004838058456792578,0.002869938740306043
210,40.14600977417742,12,4.8799732098868365,33.85408194428121,3.0,14.0,1.0,0.038704546732604185,18.126883437722157,0.049594942397543695,,,,,0.07896880871529824,0.5871840453331105,3.0,2.0,1.0,2.59324125885895,0.09991463837222496,0.5121872078647556,False,52.258509267715986,167.51490167365162,0.7420321351689378,0.9487626246980688,0.2711858275697953,0.029598580501329613,0.010498820425533632,0.6006497478334774,,0.702202701431824,,,0.0557794213182757,,0.0659199991023649,0.08782481673118107,-0.013191210788547984,0.009357924183283364,,,,,,,,,0.09724509783332064,0.1282353000889518,0.03730420658372919,0.014366340455297687,0.0393422059691643,0.12399527613586438,1.2370553392368937,,,,28.856706838486772,,3.6191106435663953,2.032891806643819,2.163215281619114,0.04562213124469334,0.009423335401397202,0.2711858275697953,
213,18.93129862758002,23,3.846017527784332,4.248024473898863,3.0,9.0,1.0,0.1215921422611112,5.371583773267874,0.0938615869856856,3.0,8.0,1.0,0.29539705092389074,0.9575498737932824,0.18509577240722708,3.0,9.0,2.0,0.0159126289767163,1.5082334526815633,0.08340560314669446,False,,,1.1654725281231368,1.682610225734166,0.7387665418658359,0.03868355881188126,0.018686535240063862,0.49630641506242895,,0.12909899289131144,,,0.34441825324725595,,0.22227078256984492,0.3511918303032406,0.04605784323577975,0.07621904073823982,0.02048128310985285,0.2361287516764059,,,0.874266231134201,0.2105753300888616,0.04865640125825167,0.0023024590228201284,1.2064684807812214,2.3942383560630915,0.5995913567952688,0.05418303084600056,0.040640000959897005,0.8485864412649223,,0.06910897599120149,,,1.0316231525860005,,0.7431711879640848,5.810411302304112,0.295919731181324,0.6019152823234257,0.5282008393275565,0.7387665418658359,0.0023024590228201284
214,13.141520010260992,23,2.5260719896008204,13.795622684641442,3.0,28.0,1.0,0.042974442451525305,16.468999956607448,0.09893813987084013,1.0,8.0,1.0,0.0022429541069496368,1.7968825491063989,0.12559985587785344,3.0,6.0,1.0,0.01131066459568,0.7010702858332823,0.02426134378241425,False,,,0.10134445768906424,0.1933522257220817,-0.033398385198469535,0.06775205454662453,0.00893068838464442,0.10430263789453792,,,3.1160466325513725,0.11868949247812145,0.15815401995565562,0.007756477544872398,0.048185668650056884,0.12350329247991315,0.06658899825556258,0.08742888310442468,0.0038882339265454893,,,,,0.0002913790648418209,14.957455811513462,-0.0002639824480902734,0.4419522563250436,0.562578829781177,-0.08113916589900301,0.016819559456377642,0.00908734501595082,1.1994315091631895,0.5852938094417512,,,,0.07392230227668,,2.126074547697271,3.1235610516136614,1.4508381497476592,0.4492545062704543,0.0221267625956653,0.06658899825556258,0.007756477544872398
215,10.805157872869508,23,3.156771555928197,5.212089846694381,3.0,5.0,1.0,0.08623506132475356,0.4953183001778499,0.2434404851202836,1.0,4.0,1.0,0.02295053251832812,0.21576303175721426,0.42895673221473657,1.0,5.0,2.0,0.01114325080191102,0.11147229156153647,0.14919591996114487,True,52.00785724458078,58.266861992399654,0.4874338250858517,0.8294514735590159,0.5447696271061566,0.1119350276320087,0.0160416030217474,0.32612008369919343,,0.2828847265926653,,,0.3333282023371086,,0.07616928056684294,0.37161919750308775,0.18484458366195894,0.3256579544630593,0.03350120373007095,,,,,0.060122381051155714,1.4288009971617328,0.2589487378744374,0.8237094626357774,1.5772650708861993,1.123975595272675,0.09149048770393407,0.03777723450488376,,,,,,,,3.5401157980199915,4.4723246388261275,2.9229701535954513,0.04667764677246189,4.580598070899814,0.5447696271061566,0.2589487378744374
217,14.671339978053552,23,7.602836638710325,11.77779219539526,3.0,23.0,2.0,0.04037918560773504,19.302186983832414,0.3280260467127753,1.0,3.0,1.0,0.03279829027820575,0.944354953438282,0.4106448253002595,1.0,5.0,2.0,0.006730749840411507,0.1703124061367999,0.062211715494577866,False,10000.0,2.0058386571851634,0.0762003163176769,0.0832017631320906,-0.02545784956204661,0.02572541765628065,0.007455500374942959,0.07881833190096378,,,0.2984130902147465,0.07441546080025913,0.12588149514399213,-0.02596632201101112,0.06541234618366422,0.07115338645684531,-0.014474136661815263,0.023547613588042013,0.010066377011558495,,,,,0.0028329774200762203,0.02752551271532124,-0.00016036681823764087,0.06587490625330493,0.15293640934517666,-0.10399072331546293,0.024925620221521404,0.010085319027176205,,,,,,,,0.923372808814105,0.8510142969731787,0.12126772656731853,0.9307144002524204,7.165085551395779e-05,-0.014474136661815263,-0.00016036681823764087
218,12.43683456842018,23,2.714792237378143,9.596323883756764,3.0,14.0,1.0,0.5153447577487223,3.9465487773134384,0.2173458450861309,3.0,4.0,1.0,0.07299757625000787,0.19234423335144168,0.2792334092188661,3.0,3.0,1.0,0.01447584508700944,0.132172659956256,0.05083811176794748,True,235.68914752706362,26.480145825244477,0.10579680176290812,0.28472645540503905,0.05391331618665155,0.06804780157359942,0.03710834457600889,0.12128931429770493,,,2.1816881541556383,0.10226075012571073,0.22211032396222402,-0.013329892471128731,0.15127330144572146,0.27269708439947804,0.014615385216468732,0.04966484694416258,0.013890936481157171,0.16347449465739045,,,1.4419360898295093,0.10075279201468276,0.6277528315952875,0.0823508643861463,0.7900476222880649,1.192618665822824,0.05971877948312415,0.0534224113592579,0.013368388387079787,2.1496399991305672,0.6780248255138611,,,,0.08429665755947724,,6.377081622418704,6.148279644537514,0.1102244040821702,5.088268557767811e-20,0.4215933992237183,0.05391331618665155,0.0823508643861463
220,21.091816297718392,12,6.426650574505625,9.547458375645048,3.0,9.0,2.0,2.1744695659058224,1.1114156753301228,0.18253781535094865,1.0,3.0,1.0,0.042351119032300766,0.08029529561772772,0.5615910332663426,3.0,2.0,1.0,0.06553935356327313,0.12368719400993185,0.3205421534895272,False,10000.0,2.01255074487242,0.4835842363803945,0.5277568160978254,-0.012236065261813077,0.012353328818243513,0.005628583745406547,0.4515952034963687,,0.9021609056317608,,,0.04483482382812281,,0.015221180601875488,0.02828613111084952,0.0021164595792194712,0.2059892259592941,0.0079950042348995,,,,,0.004767356941968801,0.019390655868734997,4.76052972715074e-05,0.25473343915772234,0.2874128870552427,-0.01209694365984345,0.016462285785932833,0.01374422657400619,0.4131034148400792,0.6814621126760299,,,,0.019668191789042874,,0.8927512744277923,3.1338695842150037,0.4928974354246511,0.5491661614735049,0.0076324999909321185,0.0021164595792194712,4.76052972715074e-05
221,18.511670443946684,12,8.571445006909375,9.090107386140268,3.0,5.0,2.0,1.5253835652872865,2.3399407960541523,0.405101111281012,3.0,5.0,2.0,2.8039418537263727,1.6199192811705254,0.9761983837341268,3.0,3.0,2.0,0.028862363631930107,0.2669441443733405,0.40644567701782897,False,10000.0,1.8920525875113527,0.4290286810016638,0.6609516412626705,-0.04834188667361385,0.02191511023016813,0.19902331720140554,0.3946116106094776,,0.8113948133265476,,,0.16309299201642055,,0.18372182268703927,0.2818744729458389,-0.003958125695596172,0.021398212154424903,0.08364234442112639,0.24074294599411514,1.1116296624331063,,,,0.35022556767728114,,0.4488354749953399,0.5177308439219079,-0.16823406400010082,0.0036408683079717508,0.1662189911650514,0.6706758555845042,0.5481681259173173,,,,0.03172375936132114,,1.6229724318915084,2.0926896654196434,0.30531219641217866,0.3198116437605909,0.02347312842092068,-0.003958125695596172,
222,49.54224203498084,23,13.207093727973465,15.264776029751813,3.0,2.0,1.0,2.8740961967605,0.5343260595927412,0.5949082334225718,3.0,2.0,1.0,0.8942242864927975,65.5491911497428,1.5342090737407212,,,,,1.2070395484665073,0.5889372320202207,False,7271.662379728109,1.8673113672872808,0.22433102540681232,0.3547626562642062,0.1763868370465372,0.0027686488676554604,0.15182186066815426,0.1890245793020259,,0.5964211471410081,,,0.45645181633525,,0.27163731411683645,0.43354662773669256,0.2201697730963806,0.010397170648645088,0.23732063539866144,0.2006356323451301,,0.7572108148504253,,,0.3667642307435577,,0.7595104496568958,0.8027517820194845,-0.0612130898891994,0.009633219199733218,,,,,,,,,3.122127754996616,3.017745379251628,3.455233312021443,0.2184324844305039,0.01777128902749179,0.2201697730963806,
223,32.113377253166945,12,2.7964083333208656,17.77184265359343,3.0,13.0,2.0,0.09357716496011807,0.35949164379054066,0.12047399483369857,,,,,0.0016341129616901757,1.0798285178655176,3.0,3.0,2.0,1.0100514451381803,0.004583473846380519,0.8562041845283584,True,71.39816900078306,30.829853945912465,1.1461905614957493,1.3696532605654619,-0.8116570328253789,0.07807248278524034,0.009730567994680858,0.41983824771430384,,0.6540149248965594,,,0.29755576948232304,,0.005550430878000239,0.010927492640073377,0.0035114980049793685,0.07678852348864021,,,,,,,,,0.16541782773521446,0.19620745767874614,-0.11129666382276446,0.07345266866283165,0.018056464458912663,0.047184442844671236,,0.5606223405774625,,,,,0.6382598836289638,2.0397835076739805,0.7861718716422966,4.330748293766496e-08,3.5827283599261786,0.0035114980049793685,
224,13.492539559275693,12,11.869466970593637,8.3567736968654,3.0,19.0,2.0,0.10277941859908188,42.86127454341016,0.07676108600325235,3.0,11.0,2.0,0.5808027280503514,5.437072794307072,0.23096917105952,1.0,4.0,1.0,0.01448948778369711,2.439709641838613,0.14321476422282395,False,414.1599523017276,25.08034586339923,0.789587713533759,0.8531613917553181,-0.16327644510816405,0.004929905086504143,0.03624525269478175,0.8326777548217904,1.0725274045786397,,,,0.06825436585835751,,0.06785142412336845,0.1033828609713659,0.017640468761203548,0.0184615724117345,0.056763869511485064,0.04866754668678493,,0.7658402448990231,,,0.2301302261621421,,0.3366287542046431,0.3434877960647489,-0.029502800333320894,0.002912990109108955,0.05829268151251834,,,,,0.002603732704121571,0.059161491375191264,-0.0004915708847935204,0.6406939495588309,4.189836434177125,0.4992701769373763,0.0008097301144065642,0.0020844213135204235,0.017640468761203548,
226,23.991550824984685,12,16.529297184786948,12.748335441595952,3.0,3.0,1.0,0.044692188206828014,16.397226691219906,0.3327079458719327,3.0,2.0,1.0,0.1580733293414595,2.835839741047131,1.0801838334789464,3.0,3.0,2.0,9.42845039185159,0.14185086859816062,0.5608699864980342,False,138.2609709131647,55.687232639398204,0.6414137023669403,0.8296974328800253,-0.6003109147011246,0.009808882771376927,0.27878930761293697,0.5108285091465252,,0.06938624213979784,,,0.5336493492606421,,0.1442741673119224,0.1914856981392596,0.14273385917315565,0.010364599366872694,0.08654405608238636,0.15963089062838773,1.1292055168282242,,,,0.1512879626368031,,0.4298720861909212,0.5092782820830639,0.30564609587869296,0.004254179948635003,0.12435174937993206,0.12616868633252612,,0.8854867850167634,,,0.2383163660418597,,0.8817440486647847,2.5015775804242786,3.1593903120937736,0.027130694162290227,0.024103572461911426,0.14273385917315565,
227,7.391987697507293,23,2.4867087918165716,3.597430444323304,3.0,31.0,1.0,0.14721706121427364,26.184754949982782,0.031522850933153115,3.0,22.0,1.0,0.679947301459317,13.814809580498993,0.05422400389353069,3.0,13.0,1.0,0.0286727813724044,6.5718451055277,0.02200741645213316,True,92.9787779315734,67.10410920928493,0.6626652904139146,0.7789958740932454,-0.1956904903867533,0.013208441062335841,0.005363555689297719,0.7727913587993804,1.105442079527839,,,,0.30810446397873514,,0.2704648658986308,0.5808741577675827,0.3463851444097703,0.020824997987327804,0.0026628686663083085,0.24232320966724374,,0.7450576898655047,,,0.3133573584707999,,0.5529178999373278,0.9510374547905409,-0.015929475069921727,0.028775420606377493,0.011404741062139151,0.7507484228422729,1.5666940722844898,,,,0.33153353476599245,,1.436585735093607,3.3973626439954905,1.1998546103247627,0.2184324844305039,0.006311719196430979,0.3463851444097703,
