,ID,Mean,Sigma,betaouter,nearpair,betanear,betafar,numfixedpointsnear,jnear,knear,strengthnear,C_AMDnear,EMcrossnear,numfixedpointsfar,jfar,kfar,strengthfar,C_AMDfar,EMcrossfar,numfixedpointsouter,jouter,kouter,strengthouter,C_AMDouter,EMcrossouter,unstableinNorbits,tlyap,megno,EMmednear,EMmaxnear,EMslopenear,EMrollingstdnear,Zcommednear,Zsepouternear,ZfreeICnear,ZfreeOCnear,Zfreenear,Zstarmednear,Zstarstdnear,Zstarslopenear,EMmedfar,EMmaxfar,EMslopefar,EMrollingstdfar,Zcommedfar,Zsepouterfar,ZfreeICfar,ZfreeOCfar,Zfreefar,Zstarmedfar,Zstarstdfar,Zstarslopefar,EMmedouter,EMmaxouter,EMslopeouter,EMrollingstdouter,Zcommedouter,Zsepouterouter,ZfreeICouter,ZfreeOCouter,Zfreeouter,Zstarmedouter,Zstarstdouter,Zstarslopeouter,EPslopenear,testnear,EPslopefar,testfar,EPslopeouter,testouter,EMslopemax,EMrollingstdmax,EPslopemax,KSpval,AMDerr
33,33,4.651385929161704,0.4064284956656381,13.035126665966123,12,2.908526156337736,18.710906855255093,3.0,18.0,1.0,0.1430648479342281,5.705426500275626,0.03904922329833594,3.0,6.0,1.0,0.013802525957313497,0.8077978017723956,0.1321986752158445,1.0,5.0,1.0,0.0069403608076129735,0.24180723592722236,0.17641015410242813,False,966.3090243458105,13.167044619533131,0.24656300568582,0.49159127040185846,-0.05445868251359672,0.1216866920123794,0.005895831798335849,0.26504299745617627,,,0.8502265915544841,0.24938667493146535,0.33030002877726977,-0.11861162378846224,0.18426072755980077,0.28116013112162885,-0.049131950927685825,0.054475388101391645,0.02028027562756534,0.1576575726052066,,0.6493281740116714,,,0.7339085303171824,,0.1301784940336041,0.13463023979056768,0.0020392580099367827,0.005270972482207064,0.007760571123707119,,,,,0.0007282842649948311,0.008627306381964026,2.8493863018076467e-06,-0.0001399087203590393,4.695364066682383,0.0029727100147368623,1.2021475376630368,-0.0004426958444636799,3.515609347274722,-0.049131950927685825,0.054475388101391645,0.0029727100147368623,0.07742034064789523,0.04918342383841629
34,34,4.728932725405367,0.39651280383614296,29.676942233267322,23,10.639512405568345,13.642976846617582,3.0,7.0,1.0,0.025420761927651275,0.9094681245786604,0.11154184536306876,3.0,6.0,1.0,0.03791372310158057,1.946364390263518,0.1258996270696588,3.0,7.0,2.0,5.219306909271514,0.5375484687573246,0.25148454916659946,False,,,0.45673036500982067,0.6361595191977495,0.2427307987145931,0.003848812055812409,0.011812783834895804,0.37176086278835035,,1.0658852224750173,,,0.1373082195986206,,0.843260822270061,0.9131544488383438,-0.26203786634796444,0.005706822016955413,0.038847996775661024,0.8792451296851235,0.9988497498340119,,,,0.01029648883727597,,0.5739092782142301,0.6300149217635386,-0.25951289788547555,0.0036834161189656786,0.007948004526775056,0.5909470112624257,1.010293572255835,,,,0.07145063785875355,,0.015377484756535395,3.2677005400037826,8.056721057686797e-05,0.5445538457218517,0.016418067904427923,0.1272083847864253,0.2427307987145931,0.003848812055812409,0.015377484756535395,6.67730626421895e-09,0.08597866301461253
36,36,4.931004489943285,0.4972117527456042,20.08491964922221,12,3.6663781639710193,3.7506477925529933,3.0,11.0,2.0,1.4138280119387403,4.377564593596447,0.14321321307652024,3.0,5.0,1.0,0.055353218121513545,0.3861016098561539,0.14911826743434242,3.0,3.0,1.0,0.10745800979559898,1.0012524942088827,0.3136871867185387,False,2268.736152207929,6.409749135720249,0.2798854819330965,0.5050346849766015,0.008321799496703032,0.08928870635867003,0.011496182899343788,0.4703155546256715,1.3544870425427944,,,,0.4893656309432904,,0.18696260414426638,0.2436067539445742,0.0019193856511946726,0.12625904520807385,0.010333724733488536,0.46842815045863295,1.0715202071482073,,,,0.00984601113664457,,0.13693420434959414,0.32834747089394306,0.014680444482923004,0.13250565033856243,0.030973979115787115,0.06854843134508222,,0.14214074261277254,,,1.1510814353952992,,0.00012279690682218526,2.754101589177077,-0.0001250593211566159,2.0400596872223504,-0.0006928350638930966,3.44449080636697,0.008321799496703032,0.08928870635867003,0.00012279690682218526,0.008212907610514936,0.03173776207254593
37,37,4.911632989815414,0.2897801433752453,7.929307705645444,23,5.155945834335613,4.607752100957678,3.0,25.0,2.0,0.14615983059951748,0.48346486598532074,0.05699513826134842,3.0,19.0,2.0,0.016812383553940373,0.22907509690615754,0.07773951786594295,1.0,6.0,1.0,0.0073459941662059255,0.03258474261239442,0.13916543069643136,False,677.7246241590625,19.07024438404054,0.17327641409942401,0.2574975291105333,0.028805049848836597,0.09016085925889748,0.0036467286547531715,0.10498510844443378,,0.4015320220897546,,,0.23360168080219582,,0.10432990814871082,0.16662478923471946,0.02339624964123931,0.10608118538683964,0.0022796814995945406,0.07509010781598251,,0.6005074978701567,,,,,0.042189826054088525,0.0508244295570216,-0.0008224772244454009,0.051841697249512236,0.0020009245986799965,,,,,0.0025436969098529623,0.007724697397351208,1.4753285422677254e-05,-0.0023057275682521316,1.8051777473666177,0.001364092131849563,4.510055137067595,0.00017886494764631064,0.9085876533917334,0.028805049848836597,0.09016085925889748,0.001364092131849563,0.6555503111669643,0.011786007201042321
38,38,5.0646753953062245,0.6260844462755424,21.41794983049567,23,3.7915908499431925,16.457459628476926,3.0,15.0,2.0,1.3096081032186508,8.09661629750063,0.10037061703948293,,,,,0.004137982818862463,0.7931852820203888,3.0,3.0,2.0,0.0032381472574621244,0.2597319277095503,0.9731683952428944,False,58.4672577150573,161.47324972248921,0.6270258854507459,1.1323419683421037,0.031884723940048425,0.09006040662623281,0.025003225690060193,0.5574328220304338,,0.22926146152547622,,,0.06770803067417314,,0.03375308438707168,0.03515704878532228,0.0007153986235838125,0.00427917313394631,,,,,,,,,0.07292853158945269,0.11474535765678144,0.011032425348751013,0.07200031917558893,0.004308668461154662,0.2527087839836054,0.634466862057127,,,,0.17016515951865227,,-0.0031190800037041336,1.5112061894621298,5.0801419746614626e-05,2.6154285938997153,0.004795638655169782,2.4284720099921207,0.031884723940048425,0.09006040662623281,5.0801419746614626e-05,0.14355816610478422,0.11444269370844767
41,41,5.790898847711949,0.3904947785759276,12.290724747076156,23,4.590186190061742,10.49402214076805,3.0,33.0,2.0,0.034861683804825815,2.033546640356875,0.042737660203955724,1.0,3.0,1.0,0.01053244845623192,0.02168524433196676,0.33811354094028184,3.0,5.0,2.0,0.00420857796649428,0.026192584056349888,0.39530138276729965,False,2929.529006350387,5.9246861837205325,0.2295911616894637,0.3458275738059609,-0.11277486998720665,0.08054917279020496,0.0049503979162776384,0.29260609910790886,1.4213283343729788,,,,0.2090341480990096,,0.019771427671054588,0.02910538687731281,0.020254609074543004,0.09335951739978446,0.00010181262894965945,,,,,0.0028363471343166207,0.006274213462052666,4.028816425393007e-05,0.01655243105099513,0.031142928675858775,-0.030930003165338806,0.046995702447619,0.00010652205267880959,0.17539225098616845,0.25135862251870833,,,,0.012609645637903346,,0.0009345901306048656,1.8841551874721953,5.3254395976216804e-05,2.65608984807177,0.00012524170706077283,1.5626724136126562,0.020254609074543004,0.09335951739978446,0.0009345901306048656,0.35990286596479876,0.017418491975896865
42,42,5.189591239495999,0.4039721966322152,17.12425562732028,12,6.166908320312233,15.629217710686016,3.0,5.0,1.0,0.8107085247410493,5.538036374661131,0.1595511972714662,3.0,3.0,1.0,0.010526334591412759,1.5716537526721617,0.27370328988688,,,,,0.11183111451846581,0.47692417475693705,False,10000.0,2.087811944430014,0.6524075251011086,0.6923089532306755,-0.015919109672090242,0.0073744491637196185,0.05374680471199239,0.7163696366864951,,,0.1322496163926613,0.6929092319827936,0.015039330926627913,0.00314013870908871,0.4786628292500199,0.6010829592124574,0.10349510335265417,0.010809353520434979,0.024814313917710176,0.42566583887271536,,0.26642762652387586,,,0.15094945770111529,,0.1343830961370752,0.14512436105562768,-0.007768233181253338,0.001980029741445035,,,,,,,,,-0.0044775469109372985,0.4662651048105808,0.026919227808464785,1.9816084716347127,-0.0013821289853040157,1.1741619178837692,0.10349510335265417,0.010809353520434979,0.026919227808464785,0.06567117973706273,0.007986653133117756
43,43,5.344513230222252,0.392046368440622,16.9944946425239,23,3.207327308717555,12.477003222129131,3.0,10.0,1.0,0.10843009618829662,81.8372034708718,0.07450751223594948,1.0,5.0,2.0,0.0030855746854952276,0.10674043986102603,0.45443529246401637,3.0,2.0,1.0,0.08343947676195064,2.900423807864807,0.5628016478136758,False,10000.0,1.9965532649464302,0.37571128917149044,0.4468186266770269,0.003354269978182803,0.06529388761018932,0.040457372579227394,0.472568865765818,,,0.2848380476375843,0.3856061033032444,0.017744545191236073,-0.0012462451532911068,0.061087306009961255,0.0696263149116683,-0.015372719535592157,0.007586750059828213,0.045805424389643176,,,,,,,,0.0673371696058615,0.10837340459684452,-0.011637803381128594,0.0896673968617354,0.04646568239426009,0.23303144696382475,0.6616729959933584,,,,0.04891736823201538,,0.03142842957081308,3.457454723690361,-0.0008255802191909912,0.5059322847782783,-0.011080648513083536,0.57332394132293,0.003354269978182803,0.06529388761018932,0.03142842957081308,0.40310260702007983,0.0028993889597563214
46,46,5.4612605573392905,0.5875454897471052,12.748580599409987,23,7.155678371354398,7.857495811646166,3.0,6.0,1.0,10.610234355886137,2.9847486658103475,0.12926881444050248,3.0,6.0,1.0,0.23537928810983774,3.748322975699736,0.13027644817307404,3.0,3.0,1.0,0.0069640449966867305,0.04240423858302978,0.27638594461842936,False,1021.1100995512555,12.360588652164946,0.5207793724825416,0.608702142575837,0.03574785066710126,0.041335249317054165,0.008927098814201572,0.5277149572800228,,,0.6401926798201182,0.4975409566224658,0.1024719248534514,0.046492039388029885,0.4905392255490544,0.6150497837999309,-0.073757144014727,0.04331901897651171,0.004435866857577176,0.590736003891096,1.200894637318802,,,,0.12208339430339513,,0.03004267816495846,0.03237837334908595,0.002146595006953096,0.022796597346268047,0.005493458132781997,0.3942872403860086,0.0991215549471447,,,,0.0022207628889179044,,-0.002246925374732239,4.45334176877934,0.0040863332400535865,3.168376850988969,0.0017913393184678288,2.458517983940697,0.03574785066710126,0.041335249317054165,0.0040863332400535865,0.2184324844305039,0.02534581587497277
47,47,6.0034106136682235,0.5249862700662636,20.115796973273607,12,5.373980309201434,15.724389528733461,3.0,17.0,2.0,0.3058119889167733,0.8246345715555644,0.08703839922112527,,,,,0.013484626853718254,0.46646021898489554,1.0,2.0,1.0,0.21252011049486436,0.009894117029771225,0.5940985689668017,False,450.1195321231632,24.248700392489663,0.13954417215121,0.21905050401567214,0.04394136312280618,0.15416303571719026,0.038232264623113826,0.10839174674382207,,0.32975718830456624,,,0.2994595781209504,,0.07426284352851567,0.09627576538299097,0.007383344140005292,0.010132802022238582,,,,,,,,,0.07035944310876954,0.08367481155061061,-0.004101978673061452,0.04354950603347103,0.0046547789296567735,,,,,0.0070230227296756795,0.13006047608004132,-1.370575464882256e-05,-0.0019148025387490022,3.2820017762762235,0.000285368038661264,0.5342931686487388,-2.86946143380343e-05,4.035808135456471,0.04394136312280618,0.15416303571719026,0.000285368038661264,0.14355816610478422,0.1376031564067574
48,48,5.489677485579715,0.3953678464993448,15.765992038717904,12,3.319018427238044,12.6613359929124,3.0,21.0,2.0,0.045779645563817306,0.2985728363778283,0.06827943184553678,3.0,5.0,2.0,0.00034839187365926275,0.0068749824076973646,0.3620245971978904,,,,,0.004116156764781596,0.4550228628542084,False,717.4160303359206,14.783648845063912,0.10682833559384586,0.2446234341573426,0.04048799745711453,0.30836169723259793,0.0026934456616532123,0.14637842911060944,,,0.9471641951518703,0.11853270313133804,0.36325562520037347,0.03923401350328156,0.020523431699320555,0.04310821953859047,-0.001937793699921119,0.12988897302734453,0.004352888329222509,0.35988503957993406,0.12153003304186218,,,,0.0036799941710528973,,0.016754254293294517,0.030712697788705064,0.004347033276918485,0.11177573486333835,,,,,,,,,-0.002554679297110506,3.5050007430491,0.0004141305748504812,2.8474418675341155,-3.5942955277248366e-05,3.356724603759255,0.04048799745711453,0.30836169723259793,0.0004141305748504812,0.3198116437605909,0.09819040416916672
49,49,5.570551931437908,0.5814461932986259,32.653733002898115,23,2.6576797947851682,18.806491115090374,3.0,21.0,1.0,0.46709613612066514,7.077723457214507,0.03321041594272846,1.0,4.0,1.0,0.0034952705989406223,0.07957755890278581,0.2442686448191672,3.0,3.0,1.0,0.004509490864644126,0.17463597585128846,0.28559132405810683,False,10000.0,2.0073738251451103,0.5059365721695055,0.5718929685365005,-0.006052823498499722,0.011567657869987126,0.01950528369474916,0.5733422711559516,,,0.07409067876637361,0.5105218852054634,0.060195343989518736,-0.008579699748381178,0.08061568840838232,0.08894573338246081,0.0004700640588748256,0.007036419589485799,0.017253761680922734,,,,,0.0001779835549391042,0.008225104761616088,4.124572370970745e-08,0.08600073203726345,0.1242400937116025,-0.008213115426165069,0.04284593910965631,0.008169334677707786,0.332228148141186,0.4235500333370431,,,,0.02936180470434771,,-0.00018703170454761455,1.4404309034920824,0.000376782668169041,0.13110769533650743,2.0479499238531417e-05,3.080277985140474,0.0004700640588748256,0.007036419589485799,0.000376782668169041,5.088268557767811e-20,0.0017945407367268643
50,50,4.387149063460002,0.2733753944185954,6.130884717108155,12,8.82158283081568,3.0508169772917655,3.0,15.0,2.0,0.3140284732146294,27.77739812973735,0.09948470782793191,3.0,7.0,1.0,0.2546407733850302,2.9493539995426956,0.11108451009795313,1.0,4.0,1.0,0.06278544938495285,4.702763154839488,0.22162042795718884,False,296.1339424022822,34.10330877627784,0.5353795877589735,0.8585709832920152,-0.02877771943873784,0.1621790523296242,0.05017773622810381,0.6911471718655477,1.3307111062526442,,,,0.41928934166922344,,0.41911385963482584,0.5040012767883731,-0.025550771874480536,0.07858050044732337,0.027898050689251178,0.5182305228019453,,,0.30589899148835803,0.40716705843721585,0.030757908402398643,-0.02424324755010692,0.13325368674194832,0.18948472596424554,-0.006424546438844637,0.07328800318000173,0.029848796465892877,,,,,0.02152787620838006,0.6508882574751021,0.0368167211937069,-0.0021858264600394146,0.7875196507977056,-1.5658759017079838e-05,1.7249473549739074,-1.1164784347699262e-05,5.437705003278768,-0.025550771874480536,0.07858050044732337,-1.5658759017079838e-05,0.002229025519133204,0.004596558886004005
53,53,5.357514096835872,0.5330589260320869,18.790015218778397,23,3.863272924066428,16.77475771719549,3.0,31.0,2.0,0.2182841611106008,9.293376097122643,0.045251882809746756,3.0,2.0,1.0,0.014061913527687889,0.11999150047854298,0.5280595965753717,1.0,2.0,1.0,0.05416324081440014,0.027952499337814143,0.5972071703659093,False,325.1763411900758,27.271342079141473,0.21845630693208037,0.2946782911763254,-0.03207882066052362,0.07925945281771804,0.00406968653424329,0.27251829449911735,,,1.4618656962861125,0.21648669276097632,0.24018908434558187,-0.0947517272611298,0.015382665608206145,0.02667691166815357,-0.017516388878535332,0.05202227414607901,0.0009354948209261069,0.32640302390477755,0.1081373894738263,,,,0.0046428863080907705,,0.008938777320571599,0.013283563097148869,0.006496933106897258,0.11282513201147291,0.0008678131455999568,,,,,0.005541356472179005,0.016759021262263626,-0.00012831788641043496,0.0005933912901090017,2.1081380721736593,-1.3750185207420739e-05,2.0023016328563683,-9.224126494301432e-05,2.3971854425189982,-0.017516388878535332,0.05202227414607901,0.0005933912901090017,0.04667764677246235,0.0011733432722494657
54,54,6.219218442506127,0.1822190575733328,14.18735324571692,23,3.7385924968763633,10.742661664471557,3.0,10.0,1.0,0.41436896875177537,4.510743275041807,0.07308547384906051,1.0,3.0,1.0,0.043222762674491086,0.15100524901828685,0.332750854114306,1.0,5.0,2.0,0.00862224253775898,0.15689293035059845,0.43015558180999014,False,10000.0,1.9861422182629649,0.422186854395487,0.5396854894377365,0.015039102651326356,0.023907244152685976,0.04715274845731969,0.43064103447171354,,,0.08480274346695739,0.4276267211771992,0.10242481180262265,0.007513710497022797,0.17286344805934095,0.20852055689402121,0.019340152743512376,0.01664462271158359,0.012025246096866529,,,,,0.006565536445139199,0.3633896684992459,0.0004478037695210794,0.12191648771768232,0.17109364927856172,-0.004105719468754289,0.024522297719251185,0.013186365878521197,,,,,,,,-0.020528321205563246,3.732685811469408,0.007658876797646837,3.276928976651865,0.015418263823063145,0.5433060054978464,0.019340152743512376,0.01664462271158359,0.007658876797646837,0.190710292659619,0.023335654356821427
