,ID,Mean,Sigma,KSpval,instability_time,tlyap10,megno10,Nlyap10
94,94.0,4.849323819300121,0.36989653520548776,0.0002183068861607883,33734.91109176628,714.9659695456684,6.467397552422271,47.183939556176966
95,95.0,4.520901623191043,0.14243795695287692,9.937724991790739e-36,30236.965203683754,3023.71037679782,1.6213719114135172,9.999954174085088
99,99.0,4.814696411682264,0.28252110301306443,0.00012560356974528915,45217.61120486291,4521.795761263938,2.000806946682029,9.999923391547348
100,100.0,4.889788041147778,0.056846392505790086,0.00028605686888163485,86757.45501309099,8675.773213011025,2.5280083028309943,9.999968058521995
101,101.0,5.865803056363924,0.1742512638129077,0.10629177180942284,1175243.3064802273,117524.3584882895,2.0918705099827424,9.99999763110668
108,108.0,6.5905732045425465,0.3652152105687192,0.40310260702007866,3430786.664004712,2914.547891362945,112.60663505389743,1177.124820687148
109,109.0,6.3132910189715,0.3390495250807265,0.6555503111669643,878229.0517019463,2166.644679784402,42.23139762036938,405.340598712908
113,113.0,6.564103213378315,0.2721721882477533,0.14355816610478422,3370161.00573018,8597.08475643822,38.677728626985804,392.0120716742172
115,115.0,5.007156539064543,0.4381014609375661,0.3599028659647988,254542.94882650537,414.8999105043089,58.64535720090531,613.5044679019323
119,119.0,5.450625066295768,0.4757020116172368,0.4492545062704516,88225.78376499182,,,
121,121.0,5.8703467995247,0.3752773395530841,0.6019152823234257,691139.5058529082,1687.1076599252442,44.83434689244221,409.659396534026
122,122.0,5.405410954972685,0.3788061920525413,0.09090010387130854,68101.88217121344,1191.3625089066347,6.250862998766107,57.16302272573064
125,125.0,5.170624782080849,0.4324444159501739,0.5491661614735049,319458.4810563052,256.1082543972849,117.46171124493097,1247.3572232496224
126,126.0,6.225261722721598,0.3628103038772552,0.032641951644432884,572208.5492963375,31040.896775602523,3.3864994387296754,18.434021202186436
127,127.0,4.446131872966926,0.315781120375027,0.319811643760592,55810.27968980504,489.65335973132835,18.159585017767558,113.97916215754755
128,128.0,7.004225294924394,0.5016462301818692,0.3599028659647999,3005359.7888789764,33367.759584514286,15.391932672588826,90.06777279328458
130,130.0,3.9916949244934368,0.7006207946822856,0.018515440681510592,547004.7159727287,,,
143,143.0,4.443181835258716,0.011908552966163416,2.4587191272653994e-25,27436.827945150028,2743.7070432492924,1.9686610937560312,9.999911620541452
145,145.0,6.874161721172974,0.4216802074999992,0.9307144002524204,10788521.442727968,,,
146,146.0,4.890090353782743,0.4108361344141849,0.40310260702007866,25441.19364570709,65.51529054272751,34.5889217847543,388.32451836743286
149,149.0,5.519024544142768,0.5746789175584872,0.14355816610478422,589445.0528533665,,,
150,150.0,5.568794315967557,0.4269104700303071,0.027130694162290005,684346.541171163,660.1446345946588,99.70189728110373,1036.6615212912616
155,155.0,5.323342446478182,0.5859575316358272,0.14355816610478422,122444.00632105545,75.95902623808135,150.90511971489644,1611.974407587512
159,159.0,7.325795735255986,0.3104826271232323,0.9571669235102976,34213562.16287116,,,
161,161.0,5.853300351494696,0.5074301150127266,0.04667764677246189,143146.37824366085,140.22400430267197,130.9929785719839,1020.8407537320142
162,162.0,5.3506377878873925,0.4234989970829669,0.07742034064789592,65286.087172788095,818.6937762943129,8.573213495010375,79.7442084735213
165,165.0,4.491703886790074,0.3096580465295623,8.877113882858151e-14,22615.56059928624,2261.5733804596834,2.00219872172478,9.999923413800282
166,166.0,4.616112699967843,0.3591947278576849,2.4221920866995e-10,24248.884510805845,2424.9057716116454,2.3546788833416525,9.999928572354177
167,167.0,5.899941440415609,0.3228628096998847,0.00016592709218375148,702032.5465523513,70203.27549340678,2.335628469594579,9.999997031737978
168,168.0,4.295825081747868,0.2861528856916231,0.40310260702007866,10563.777875272795,111.19048403133155,9.286220481975874,95.0061326497698
169,169.0,4.604899879103487,0.28563767443192045,0.4980825850477164,26635.996933771192,637.3595533525688,5.941548693024186,41.791162921562
170,170.0,4.920858684279124,0.5066878012885203,0.07742034064789523,37123.46065135259,3712.373777879687,1.9285289256262164,9.99992535033893
171,171.0,5.3503874642052,0.3819621491311598,0.022458470313574033,103771.94435548656,10377.20136228351,2.00409340549284,9.999993325045345
172,172.0,5.422071746475173,0.3756458186662685,0.12378167252561866,146973.76019594033,3514.146911942442,7.183542770093338,41.8234535660607
